"nid","key_number","display_name","sort_name","parent","biography","present_in_yok"
"24389","3794","Unnamed Men Who Caused the World Wars","Unnamed Men Who Caused the World Wars","","<p>In Chapter 6 of <em>The Mansion</em>, Gavin Stevens refers to ""the same old cynical manipulators"" who had caused World War One and were now, in the late 1930s, about to start the Second World War: ""the parasites - the hereditary proprietors, the farmers-general of the human dilemma"" (178).  The specific names he mentions in the passage include Benito Mussolini, ""this one man"" in Germany (Adolph Hitler), Huey Long in Louisiana and ""our own Bilbo in Mississippi"" as well as two racist and anti-Semitic organizations: the ""K.K.K. and Silver Shirts"" (179).  V.K. Ratliff interrupts Gavin twice to try to get him to include ""the one in Russia"" - i.e. Joseph Stalin - on the list (179).  It's probably worth noting that the term ""parasites"" might be interpreted by some in Faulkner's time as a coded reference to Jewish financiers, who were actually often scapegoated as responsible for World War I, but all the names with which Gavin develops his indictment refers to men and organizations that were explicitly anti-Semitic.  They all have their own entries in this index.</p>","No"
"24386","3793","Unnamed Modern Aryans","Unnamed Modern Aryans","","<p>In a confused passage in <em>The Mansion</em> that evokes a number of stereotypes, mostly involving national types (like ""German,"" 146), Gavin Stevens asserts the idea of ""the modern virile northern Aryan"" to explain why he decided to participate in the First World War by serving on the allied side (146).  According to Gavin's idea, it was ""the old Aryan stock"" as embodied in the English that ""established America"" (146).  Exactly how he - or Faulkner - would define ""Aryan"" is not clear, but given the use of the term by Nazi Germany to exclude Jews from the idea of a 'master race,' it's an odd concept for Faulkner to introduce into the novel.  The concept of the ""Anglo-Saxon,"" which the narrator of the earlier <em>Requiem for a Nun</em> uses to describe the race of the pioneers, while still deployed in an exclusionary way, is not nearly as loaded a term.</p>","Yes"
"24384","3792","Unnamed Jews","Unnamed Jews","","<p>In <em>The Mansion</em> Chick Mallison and his uncle Gavin have a conversation about the man Linda Snopes married; although neither of them ever once explicitly uses the word 'Jewish' or gives Chick's anti-Antisemitism a name, Gavin's insistence that Chick pronounce Linda's husband's name ""K-o-h-l"" rather than ""Cole"" leads Chick to wonder why Barton Kohl didn't change his name.  He adds ""dont they, usually?"" (122).  This comment provokes Gavin to wonder where his nephew ""found that"" - i.e. acquired this prejudice about 'them' (123).  Although Chick's ""they"" is a very insubstantial 'character' and Chick himself is ""ashamed"" of his attitude (123), it seems clear that ""they"" should be included in the fictions' cast of characters.</p>","No"
"24382","3791","Unnamed Suitor of Eula Varner","Unnamed Suitor of Eula Varner","","<p>In <em>The Mansion</em> V.K. Ratliff refers to ""some foreigner from four or six miles away"" from Frenchman's Bend who tried to court Eula Varner, but was ""bushwhacked"" by the local young men who put aside their rivalry long enough to drive away this outsider (131-32).  Ratliff may be citing a specific case, or something that has happened more than once before McCarron - another outsider - comes courting.</p>","Yes"
"24380","3790","Unnamed Wounded Male Soldiers","Unnamed Wounded Male Soldiers","","<p>As they wait for Linda Kohl to return from the Spanish Civil War in <em>The Mansion</em>, Chick Mallison reminds his uncle about the ""men soldiers"" from Yoknapatawpha who have ""come home wounded from a war"" (121).  The way he says it - ""Men soldiers yes, of course yes"" - suggests he is thinking mainly of Confederate soldiers and the Civil War, but the fictions include wounded veterans of the Spanish-American and the First World Wars.</p>","Yes"
"24365","3789","Unnamed Non-Mississippians","Unnamed Non-Mississippians","","<p>According to Gavin in <em>The Mansion</em>, ""the rest of the world, at least that part of it in the United States, rates us folks in Mississippi at the lowest rung of culture"" (167).  This entry represents those people outside Mississippi - especially in the North.</p>","No"
"24362","3788","Unnamed Negro Train Passengers 2","Unnamed Negro Train Passengers 2","","<p>These people don't appear in <em>The Reivers</em>, but their presence is evoked when the narrator sees Reba and Minnie at the Parsham depot getting out of ""the Jimcrow half"" of the smoking car - ""where Negroes traveled"" (194).</p>","No"
"24361","3787","Unnamed People of Frenchman's Bend 3","Unnamed People of Frenchman's Bend 3","","<p>The rural and poor hamlet of Frenchman's Bend appears or is referred to in 18 different Yoknapatawpha fictions; this entry focuses on one of the texts that characterizes the people who live there as a group. ""Centaur in Brass"" takes place after Flem Snopes comes to town, and doesn't provide a name for the place he comes from, though the references to the ""country store"" (149) and the auction of ""a herd of half-wild mustang ponies"" (150) identifies the place as the Bend.  The ""purchasers"" of the ponies are barely mentioned, but the narrative says enough to indicate their haplessness and ignorance (150).  One thing they remain ignorant about: the extent of Flem's involvement in the auction.</p>","Yes"
"24331","3786","Unnamed Negro Youngsters","Unnamed Negro Youngsters","","<p>When Joe Brown, in <em>Light in August</em>, asks the ""old negro woman"" sitting on the porch of her cabin about who lives there, she replies ""Aint nobody here but me and the two little uns"" (433-34).  She adds that these two children are ""too little"" to carry a message to town (434), but neither she nor the narrative say anything else about them.</p>","Yes"
"24268","3785","Unnamed Episcopal Bishop","Unnamed Episcopal Bishop","","<p>When Bayard remembers church services before the Civil War in ""The Unvanquished"" and again in <em>The Unvanquished</em>, he recalls that ""the bishop"" visited the church in Yoknapatawpha at least once; the bishop's official ring ""looked big as a pistol target"" (86, 137).  ""Episcopal"" as a word derives from the idea of bishops; in the hierarchy of the Episcopal religion, a Bishop would preside over churches spread across a large area.</p>","Yes"
"24207","3784","Unnamed College Professors 2","Unnamed College Professors 2","","<p>The narrator of ""Smoke"" notes, as part of his thumbnail description of Gavin Stevens, that he ""could discuss Einstein with college professors"" (17).  (In <em>Light in August</em> readers meet one of the college professors Gavin knows; see ""Unnamed College Professor."")</p>","Yes"
"24201","3783","Unnamed Judge 5","Unnamed Judge 5","","<p>The narrator of ""Smoke"" refers briefly to ""the presiding judge during court term"" when describing how one can gain entry into Judge Dukinfield's office (14).  It's not clear if this is a rotating or a permanent position.</p>","Yes"
"24169","3782","John Gilbert","Gilbert, John","","<p>In <em>Sanctuary</em>, Minnie notes that, although ""he aint no John Gilbert,"" Popeye is a ""right pretty little man"" (227).  Gilbert was one of the stars of the silent era in American movies.  His nickname was ""The Great Lover.""</p>","No"
"24167","3781","Unnamed Neighbor of Benbow","Unnamed Neighbor of Benbow","","<p>In <em>Sanctuary</em> Horace Benbow tells Ruby Lamar that she can ""always get me by telephone, at ------,"" and gives her ""the name of a neighbor"" that the narrative withholds from us (201).  This is that neighbor.  (In <em>Flags in the Dust</em> the Benbows' neighbors are named Wyatt; there's no obvious reason for Faulkner's coyness about the neighbor in this novel.)</p>","Yes"
"24135","3779","Unspecified Compson Ancestors","Compson, Unspecified Ancestors","","<p>In the ""Appendix, Compson:1699-1945"" that Faulkner wrote in 1946, seventeen years after The Sound and the Fury was first published, he traces the Compson patrimony all the way back to Scotland in the 18th century. The 1929 novel, however, contains only a few much vaguer references to the family history; Jason thinks, for example, about the ""governors and generals"" in the family past (230), and Quentin thinks that ""one of our forefathers was a governor and three were generals"" (101). It's likely that the Compson that Mr. Compson mentions as his father's ""father"" (76) was the governor. The Compson Quentin calls ""Grandfather"" (76) was a Confederate General, but we have no further information about the other two generals. Also in the ""Appendix"" Faulkner stresses the economically tenuous origins of the family prior to their migration to Mississippi, but in the novel itself the emphasis is on their upper class status in the past. Jason thinks, for example, about how ""my people owned slaves here"" (239), and Quentin has a vision of Grandfather ""on a high place"" (176).</p>","Yes"
"24134","3780","Earliest Yoknapatawpha Families","Earliest Yoknapatawpha Families","","<p><em>The Town</em> contains two different kinds of lists of the old (white) Yoknapatawpha families.  The first such list is constructed by Gavin Stevens as he reflects on the county's history, and unlike the second list in this novel or the kind of role Faulkner provides elsewhere, Gavin's thoughts include the early lower class settlers as well as ""the proud fading white plantation names"" like  ""Sutpen and Sartoris and Compson and Edmonds and McCaslin and Beauchamp and Grenier and Habersham"" (332).  These aristocratic families own the ""rich plantation earth,"" while the lower class families settled in the ""hill-country"" (332). This group consists of the ""McCallum and Gowrie and Frazier and Muir"" families (332). He characterizes the first group mainly in terms of their social roles: ""generals and governors and judges, soldiers . . . and statesmen""; the second, in terms of their Gaelic background (332). These families often occupy central roles in other Yoknapatawpha novels, though Muirs are not mentioned elsewhere. The white Beauchamps who own a plantation live outside Yoknapatawpha; the only Yoknapatawpha Beauchamps are descended from the white planter Carothers Edmonds and Tomey, his enslaved daughter.  (See also the entry for ""Major Yoknapatawpha Families,"" in this novel and elsewhere.)</p>","Yes"
"24051","3778","Unnamed Patrol-riders","Unnamed Patrol-riders","","<p>In <em>The Unvanquished</em>, when Buck and Buddy McCaslin allow their slaves to live in the plantation big house and leave the place at night by the back door, the white inhabitants of the area share stories or rumors of ""McCaslin slaves dodging the moonlit roads and the Patrol-riders to visit other plantations"" (249).  ""Patrol-riders"" - more frequently referred to as 'patrollers,' 'paterollers' or 'paterrollers' (see <em>The Unvanquished</em>, for an example from Faulkner) - were armed white men whose job was to apprehend slaves found off their plantation after dark and to pursue fugitive slaves.</p>","Yes"
"23899","3777","Unnamed Acquaintances of Lonnie Grinnup","Unnamed Acquaintances of Lonnie Grinnup","","<p>These are the people who live ""in houses [and] cabins ten and fifteen miles away"" from Lonnie Grinnup's shack (71).  According to ""Hand Upon the Waters,"" Lonnie Grinnup and Joe periodically visit them, sometimes ""for weeks"" - the story simply refers to them as ""his hosts"" (71).  They mostly seem to be farmers, since Lonnie and Joe sometimes sleep in ""the hay of lofts,"" but some of them at least are prosperous enough to have ""company rooms"" with ""beds"" to sleep in (71).</p>","Yes"
"23863","3776","Unnamed Tidewater Planter","Unnamed Tidewater Planter","","<p>In <em>Absalom!</em>, after moving to Virginia Sutpen's father works for this planter, whom the ""thirteen or fourteen""-year-old Thomas (185) thinks of as ""the man who owned all the land and the niggers and apparently the white men who superintended the work"" on the plantation (184).  Thomas spies on him as he spends his afternoons lying in a hammock being waiting on by a slave.  Later Thomas will re-enact this scene in the arbor in Yoknapatawpha with Wash Jones as his servant.</p>","No"
"23860","3775","George Washington","Washington, George","","<p>In <em>The Sound and the Fury</em> Quentin associates ""Washington not telling lies"" with ""Jesus walking on Galilee"" (80).  Jesus walks on water in the New Testament.  The mythic claim that even as a boy George Washington, the first President of the U.S., 'could not tell a lie' was created by an early biographer and educator named Parson Weems, who thought that the story of young Washington and the cherry tree he chopped down would be edifying for the young men of the early American republic.  Weems himself <em>could</em> tell a lie.</p>","No"
"23858","3774","Saint Francis","Francis, Saint","","<p>""Saint Francis"" - known as Francis of Assisi, the Catholic friar who founded the Franciscan Order in the early 13th century - wrote the words that Quentin Compson remembers on the first page of his section in <em>The Sound and the Fury</em> in the song ""The Canticle of the Sun"": ""All praise be yours, my Lord, through Sister Death, From whose embrace no mortal can escape.""</p>","No"
"23855","3773","Unnamed College Widow","Unnamed College Widow","","<p>Herbert Head mentions ""a little widow over in town"" when he is trying to ingratiate himself with Caddy's brother Quentin (110).  The ""town"" is presumably Boston, ""over"" the river from Harvard.  Although it has been suggested that Head is talking about a prostitute, the idea of 'the college widow' as an unmarried woman who dates a succession of students over the years was proverbial in both 1910 (when the conversation takes place) and 1929 (when <em>The Sound and the Fury</em> was published).</p>","No"
"23853","3771","Unnamed Outlanders","Unnamed Outlanders","","<p>In <em>Intruder in the Dust</em> both Chick Mallison and Gavin Stevens at different points imagine a group they identify as ""outlanders"" (149, 199).  In the second instance Gavin describes them to Chick as the people of ""the North and East and West"" who are currently seeking to ""force on us [the South] laws based on the idea that man's injustice to man can be abolished overnight"" (199).  Chick's sense of this group as ""the North"" is more visceral: ""countless row on row of faces which resemble his face and spoke the same language he spoke"" but who have an ""almost helpless capacity and eagerness to believe anything about the South"" as long as it is ""bizarre enough"" (149-50).  Much of the novel's second half seems to be written directly for - or perhaps more accurately <em>at</em> - these ""people in the North"" (151) who need to let the white South ""expiate and abolish"" the injustices of racism themselves, ""alone and without help or even (with thanks) advice"" (199).</p>","No"
"23852","3770","Unnamed Uncle of Sam Caldwell","Unnamed Uncle of Sam Caldwell","","<p>In <em>The Reivers</em> Sam Caldwell's uncle is a ""division superintendent"" on the railroad line Same works for (130).  A typical division superintendent is in charge of a fairly large section of a railroad company's track.</p>","No"
"23851","3769","Unnamed Two Ladies","Unnamed Two Ladies","","<p>These two ""ladies,"" ""neighbors, still in their boudoir caps,"" are part of the group in <em>The Reivers</em> that gathers in front of the shed to see Boon drive Grandfather's car (35).  Presumably they are also among the people who go for rides in it later.</p>","Yes"
"23850","3768","Unnamed Drummers 6","Unnamed Drummers 6","","<p>These are the men Lucius in <em>The Reivers</em> calls ""drummers,"" a term Faulkner expected his readers to know meant traveling salesmen (8).  Taking them back and forth between the railroad station and the hotel is a steady source of business for Maury Priest's livery stable.</p>","Yes"
"23849","3767","Unnamed Trainman 2","Unnamed Trainman 2","","<p>In <em>The Reivers</em> Lucius notes that ""two other men"" are standing with Sam and ""the conductor"" of the train that is taking them to Parsham (161).  One of them, he says, ""must have been the engineer"" (161).  This is the other one.  As part of ""a functioning train crew,"" he could be a fireman or a brakeman (161).</p>","No"
"23848","3766","Unnamed Idlers in Livery Stable","Unnamed Idlers in Livery Stable","","<p>This is the group of men that Lucius refers to in <em>The Reivers</em>, ironically, as ""our Jefferson leisure class"": the ""friends or acquaintances of Father's or maybe just friends of horses"" who congregate in the livery stable to pass the time (38).  They expect neither ""any business"" nor ""any mail"" to come their way (38).  In other Yoknapatawpha novels such men typically sit in the barbershop or the park around the courthouse.</p>","Yes"
"23847","3765","Unnamed Tipster","Unnamed Tipster","","<p>This is the ""man on the streetcar"" in <em>The Reivers</em> who gives Mr. Binford the (bad) tip about ""which horse and buggy"" to bet on at the race track (108).</p>","No"
"23846","3764","Unnamed Tinsmith","Unnamed Tinsmith","","<p>Grandfather Priest hires this tinsmith in <em>The Reivers</em> to make both a toolbox and a ""smell-tight"" gasoline can for his new automobile (65).</p>","Yes"
"23845","3763","Unnamed Negro Tenant Farmers 6","Unnamed Negro Tenant Farmers 6","","<p>The noise of the car arriving at the Edmonds place in <em>The Reivers</em> brings ""Cousin Louisa and everybody else on the place"" to see it (61).  This entry assumes that ""everybody else"" is black, and belongs to one of the families of tenant farmers who work an allotted piece of the Edmonds property.  We assume that because Lucius adds that the group does not include ""the ones Cousin Zack could actually see from his horse"" (61).  Here ""the ones"" clearly refers to the people whom the white land owner Zack expects to see working in the fields instead of taking time off to stare at a car.</p>","Yes"
"23844","3762","Unnamed Streetcar Motorman","Unnamed Streetcar Motorman","","<p>In <em>The Reivers</em> the motorman the travelers see as they enter Memphis is turning the ""front trolley"" around at the end of the line with the help of the conductor (93).</p>","No"
"23843","3761","Unnamed Streetcar Conductor","Unnamed Streetcar Conductor","","<p>In <em>The Reivers</em> the ""street car"" conductor the travelers see as they enter Memphis is turning the ""front trolley"" around at the end of the line with the help of the motorman (93).</p>","No"
"23842","3760","Unnamed Spinster Aunts","Unnamed Spinster Aunts","","<p>In an aside in <em>The Reivers</em> to his grandson about ""that Cause"" - i.e. the Civil War - Lucius refers to ""your spinster aunts,"" and differentiates his idea about the War from theirs (228).  Elsewhere in the Yoknapatawpha fictions, such women are identified with a refusal to surrender the 'Lost Cause,' to admit either defeat or the flaws of the Old South, but what these aunts stand for here is not clear.</p>","Yes"
"23841","3759","Unnamed Residents of Rouncewell's Boarding House","Unnamed Residents of Rouncewell's Boarding House","","<p>The other residents of the boarding house where Boon lives in <em>The Reivers</em> are described as ""juries"" who were in town ""during court terms,"" ""country litigants"" also in town for court, and ""horse- and mule-traders"" (25).</p>","Yes"
"23840","3758","Unnamed Relatives of Young Man Sartoris Killed","Unnamed Relatives of Young Man Sartoris Killed","","<p>In <em>The Reivers</em>, the ""collateral descending nephews and cousins"" of the young man Colonel Sartoris killed consider Sartoris a ""murderer"" (73).</p>","Yes"
"23839","3757","Unnamed Railroad Engineer 3","Unnamed Railroad Engineer 3","","<p>In <em>The Reivers</em> Lucius notes that ""two other men"" are waiting with Sam and the conductor beside the train that is going to carry the horse to Parsham; this is the one that, according to him, ""must have been the engineer"" (161).</p>","No"
"23838","3756","Unnamed Race Marshal","Unnamed Race Marshal","","<p>The ""steward and marshal"" at the races in <em>The Reivers</em> is a local ""dog trainer"" and hunter who is out on bail awaiting trial for ""a homicide which had occurred last winter at a neighboring whiskey still"" (229).</p>","No"
"23837","3755","Unnamed Race Aficionados","Unnamed Race Aficionados","","<p>On the morning of the first horse race in <em>The Reivers</em>, Lucius sees ""seven or eight people, all men,"" in the hotel dining room (209).  Lucius refers to them as ""people like us except that they lived"" in and around Parsham; ""some were in overalls; all but one were tieless"" (209-10).  Later he calls them ""aficionados,"" in reference to their passion for horse racing (220).  The one wearing a tie is one of the two men who talk with Boon about the upcoming race.</p>","No"
"23836","3754","Unnamed Memphis Prostitute 2","Unnamed Memphis Prostitute 2","","<p>One of the two ""ladies, girls"" whom Lucius sees at supper in Miss Reba's in <em>The Reivers</em> (106).  Lucius distinguishes them by their clothes - one wears ""a red dress,"" and the other is ""in pink"" - and their age: one is a ""girl"" and the other is ""no longer a girl"" (106-07).  This is  the younger one, who complains about having to be so quiet on Sundays.</p>","No"
"23835","3753","Unnamed Memphis Prostitute 1","Unnamed Memphis Prostitute 1","","<p>One of the two ""ladies, girls"" whom Lucius sees at supper in Miss Reba's in <em>The Reivers</em> (106).  Lucius distinguishes them by their clothes - one wears ""a red dress,"" and the other is ""in pink"" - and their age: one is a ""girl"" and the other is ""no longer a girl"" (106-07).  This is ""the older one,"" whom Lucius feels a kind of pity for: ""There was something wrong about her . . . She was alone. . . . she shouldn't have had to be here, alone, to have to go through this"" (107).  Exactly what the 11-year-old Lucius means by ""this"" is not specified, but Mr. Binford has been verbally abusing both women.  When she says she is leaving, Mr. Binford makes it clear that she has no place else to go.</p>","No"
"23834","3752","Unnamed People in Rural Tennessee","Unnamed People in Rural Tennessee","","<p>Though their farms are ""bigger, more prosperous, with tighter fences and painted houses and even barns"" than those on the Mississippi side of Hell Creek, the Tennessee country people whom the travelers pass on the broad road that leads to Memphis in <em>The Reivers</em> are also ""still in their Sunday clothes,"" sitting on their front porches (""galleries""), watching the world go by (91).  And when they get closer to the city, ""even the little children"" who live along the road are no longer excited by the sight of a car (92).</p>","No"
"23833","3751","Unnamed People in Next County","Unnamed People in Next County","","<p>When they cross the Tallahatchie River in <em>The Reivers</em>, the adventurers are in what Lucius calls  ""foreign country, another county,"" the county that adjoins Yoknapatawpha to the north (78).  Between Ballenbaugh's and Hell Creek bottom the countryside seems rural: along the road are ""sprouting fields"" (78).  Lucius describes the residents they pass as ""the people already in their Sunday clothes idle on the front galleries, the children and dogs . . . running toward the fence"" to watch an automobile go by (78).</p>","No"
"23832","3750","Unnamed People in Crowd at Races","Unnamed People in Crowd at Races","","<p>In <em>The Reivers</em> Lucius describes the men who crowd around the race track and bet on the races as ""the same overalls, tieless, the sweated hats, the chewing tobacco"" that he associated with the men in the hotel dining room that morning (227).  But a major difference is that this crowd is racially unsegregated: ""people, black and white"" (228).  One member of this crowd leads Lightning to the starting line after Ned is disqualified.  ""People"" could imply women, of course, but until Minnie arrives at the end of the third race, there is no evidence of them at the track.</p>","No"
"23831","3749","Unnamed People at Ballenbaugh's","Unnamed People at Ballenbaugh's","","<p>After Ballenbaugh takes over Wyott's store in <em>The Reivers</em>, it becomes a stop-over place for the ""hard-mouthed hard-souled"" men who carry merchandise to and from Memphis (72).  But until the 1870s the people at Ballenbaugh's were ""just tough men,"" i.e. no women (72).  When the railroad took over the freight traffic in the 1880s, however, Ballenbaugh's becomes a destination point.  The narrative enumerates the men and women who live at or patronize Ballenbaugh's between the 1870s and 1886 as ""drunks and fiddlers and gamblers and girls"" (74), and also as ""brigands and murderers"" (77).  The criminal activities in which they are engaged include prostitution, making illegal whiskey, selling and buying stolen horses and cattle, and harboring fugitives from justice.</p>","Yes"
"23830","3748","Unnamed Negro Tenant Farmer 1","Unnamed Negro Tenant Farmer 1","","<p>This ""tenant on a farm six miles from town"" in <em>The Reivers</em> is either the father or the husband of the woman Ludus is romancing (10).</p>","Yes"
