"SourceTextTitle","SourceTextCode","CharacterName","AKA","Race","Gender","Class","Rank","Vitality","Family","Occupation","SpecificJob","Home","DateOfBirth","FirstAppearence","Biography","CauseOfDeath","col","dob_span","glue","hover","lab","location","mark","Narrator","none","Origin","OtherTexts","OtherTextsTEMP","Real","wid","x","y","Sort Name","Nid","IndividualGroup","Disability","Ethnicity","Ontological Status","ChangesClass","CharacterKey","CharacterKeyID","Parent","financial_status","social_status","family_new","date_of_death"
"Flags in the Dust","FD","(Old Man) Will Falls","Will Falls;Old Man Falls","White","Male","Poor White","Secondary","Alive","","","","County Poorhouse","January 1st, 1825 to December 31st, 1826","Sartoris Bank|Merchants' and Farmers' Bank","<p>During the Civil War, Will Falls served with Colonel John Sartoris' irregular outfit.  The stories he tells Old Bayard about that past serve to fetch ""the spirit of the dead man"" into the novel's post World War I present (3), and the old Choctaw salve with which he successfully treats Bayard's wen reinforces the role he plays as a connection to the old South.  He lives frugally in the county poor farm, regularly walks the three miles into town, and his ""faded overalls"" give off a ""clean dusty smell"" (3).</p><br />","","0xFFFFFF","5","","showCharHover","t","Sartoris bank","2","","","","","","","=round(((1/(sqrt(RC[-17])*.6))*if((RC[-16]=""male""),20,23)))","1 104","817","Falls, Will","1397","Individual","audio impaired","","","0","Will Falls","21499","","","","",""
"Flags in the Dust","FD","Elnora Strother","","MixedBlackWhite","Female","Free Black","Secondary","Alive","Strother","Domestic Service","Cook, Maid","Sartoris Plantation Slave Cabin","January 1st, 1885 to December 31st, 1895","Sartoris Plantation","<p>Elnora is explicitly identified as ""Simon [Strother]'s tall yellow daughter,"" but the narrator of <em>Flags in the Dust</em> also calls her a ""mulatto woman,"" which means that one of her parents is black and the other is white (36) - and it is extremely unlikely in Faulkner's world that it would be her mother who is white.  The novel says nothing about a white father, however, nor does it explicitly identify her mother, although the narrator of the later short story, ""There Was a Queen,"" identifies Elnora as the mulatto daughter of Colonel John Sartoris and a unnamed mother.  Elnora is also the sister of Caspey and the mother of Isom - though Isom's father is not mentioned at all.  In ""There Was a Queen,"" she is Caspey's wife and mother of three children: Isom, Joby, and Saddie. In both fictions she is a servant in the Sartoris household, but here her ""endless minor"" (20), the constant singing she does while at work in the kitchen, provides a kind of soundtrack for many of the scenes set at the Sartoris mansion.</p><br />","","0xFFFFFF","10","","showCharHover","t","Sartoris plantation","11","","","Yoknapatawpha","""All the Dead Pilots"", ""There Was a Queen""","""There Was a Queen""","","=round(((1/(sqrt(RC[-17])*.6))*if((RC[-16]=""male""),20,23)))","939","419","Strother, Elnora","1398","Individual","","","","0","Elnora Strother","18874","Simon Strother;Euphrony Strother","","","StrothersInFD",""
"Flags in the Dust","FD","Isom","","Black","Male","Free Black","Secondary","Alive","Strother","Domestic Service","Domestic Servant","","January 1st, 1902 to December 31st, 1903","Sartoris Plantation","<p>Elnora's young son, Isom is described as ""a negro lad lean and fluid of movement as a hound"" (20).  He is responsible for a number of chores around the Sartoris household, but most enjoys wearing Caspey's military uniform and taking the wheel of Bayard's car.  There is no hint of how, if at all, he is being educated.</p><br />","","0xFF99FF","3","","showCharHover","t","Sartoris plantation","16","","","Yoknapatawpha","""All the Dead Pilots"", ""There Was a Queen"", Sanctuary","i(Sanctuary); ""There Was a Queen""; ""All the Dead Pilots""","","=round(((1/(sqrt(RC[-17])*.6))*if((RC[-16]=""male""),20,23)))","889","419","Isom","1399","Individual","","","","0","Isom Strother","18877","Elnora Strother","","","StrothersInFD",""
"Flags in the Dust","FD","Caspey  Strother","","Black","Male","Free Black","Secondary","Alive","Strother","Domestic Service","Soldier, Servant","Sartoris Plantation Slave Cabin","January 1st, 1888 to December 31st, 1898","Sartoris Plantation","<p>In this novel Caspey is the son of Simon Strother and the brother of Elnora.   He served in a non-combatant role with the U.S. Army in France during World War I. When he returned home to Jefferson, he brought with him some wildly exaggerated tales about his military service, and a set of new ideas about racial equality which made his family very nervous and drove Old Bayard to hit him in the head with a stick of stove wood.  After that he seems to accept his place as a servant of the Sartorises.  (In the later short story ""There Was a Queen,"" Caspey is Simon's son-in-law, Elnora's husband, and in prison for stealing.)</p><br />","","0x000000","5","","showCharHover","t","Sartoris plantation","19","","","Yoknapatawpha","""There Was a Queen""","""There Was a Queen""","","=round(((1/(sqrt(RC[-17])*.6))*if((RC[-16]=""male""),20,23)))","839","419","Strother, Caspey","1400","Individual","","","","0","Caspey Strother","18879","Simon Strother;Euphrony Strother","","","StrothersInFD",""
"Flags in the Dust","FD","(Little) Belle Mitchell","","White","Female","Middle Class","Secondary","Alive","Benbow","","","Mitchell House","January 1st, 1908 to January 1st, 1912","Mitchell House","<p>The young daughter of Belle and Harry Mitchell, and, by the end of the novel, Horace Benbow's step-daughter. Belle likes showing her off. In <em>Sanctuary</em>, set ten years later, she is a young woman whose sexuality makes Horace so anxious that he feels forced to leave.</p><br />","","0x000000","3","","showCharHover","t","Mitchell house","33","","","Yoknapatawpha","Sanctuary","i(Sanctuary)","","=round(((1/(sqrt(RC[-17])*.6))*if((RC[-16]=""male""),20,23)))","1 239","700","Mitchell, (Little) Belle","1401","Individual","","","","0","(Little) Belle Mitchell","21273","Belle Mitchell  ;Harry Mitchell","","","",""
"Flags in the Dust","FD","Harry Mitchell","","White","Male","Middle Class","Secondary","Alive","","Management","Cotton Trader","Mitchell House","January 1st, 1880 to December 31st, 1890","Mitchell House","<p>""A cotton speculator and a good one; he was ugly as sin and kind-hearted and dogmatic and talkative"" (188).  Conventional to a fault, Harry does not know his wife Belle is having an affair with Horace, whom he likes.  After Belle divorces him, Young Bayard sees him in a Chicago nightclub with a young woman who is apparently trying to rob him.</p><br />","","0xFFFFFF","5","","showCharHover","t","Mitchell house","38","","","","Sanctuary","","","=round(((1/(sqrt(RC[-17])*.6))*if((RC[-16]=""male""),20,23)))","1 189","700","Mitchell, Harry","1402","Individual","","","","0","Harry Mitchell","20528","","","","",""
"Flags in the Dust","FD","Aunt Sally Wyatt","","White","Female","Upper Class","Secondary","Alive","","","","","January 1st, 1855 to December 31st, 1855","Benbow House","<p>Though the Benbows and the narrator call her ""Aunt Sally,"" there is no sign of any nieces or nephews.  She is the neighbor and old family friend who stays with Narcissa while Horace is in France.  The narrator calls her ""a good old soul, but she lived much in the past, shutting her intelligence with a bland finality to anything which had occurred since 1901"" (168).</p><br />","","0xFFFFFF","","","showCharHover","t","Benbow house","40","","","","","","","=round(((1/(sqrt(RC[-17])*.6))*if((RC[-16]=""male""),20,23)))","1 372","738","Wyatt, Aunt Sally","1403","Individual","","","","0","Aunt Sally Wyatt","21534","","","","",""
"Flags in the Dust","FD","Bayard Sartoris (infant)","","White","Male","Upper Class","Peripheral","Born-and-Dies","Sartoris","","","","January 1st, 1918 to October 27th, 1918","Benbow House","<p>This is the only child of young Bayard's short-lived marriage to Caroline White.  According to Jenny Du Pre, Caroline named him Bayard ""nine months before it was born"" (51).  He and his mother both died while Bayard was in France, though the novel does not explain the cause.</p><br />","Disease","0xFFFFFF","","","showCharHover","t","Benbow house","45","","","Memphis","","","","=round(((1/(sqrt(RC[-17])*.6))*if((RC[-16]=""male""),20,23)))","1 322","738","Sartoris, Bayard (infant)","1404","Individual","","","","0","Bayard Sartoris IV","18845","Narcissa Benbow Sartoris;(Young) Bayard Sartoris","","","SartorissInFD","Sunday, October 27, 1918"
"Flags in the Dust","FD","Doctor Alford","","White","Male","Middle Class","Secondary","Alive","","Professional","Doctor","","January 1st, 1880 to December 31st, 1889","Jefferson Doctor's Office","<p>A ""newcomer"" to Jefferson in his ""thirties"" (93), Dr. Alford shares offices with Dr. Peabody but expresses impatience and often contempt for Peabody's traditional ideas about the practice of medicine.  He is courting Narcissa Benbow, but without arousing much interest in her.</p><br />","","0xFFFFFF","","","showCharHover","t","Doctors' offices","48","","","","","","","=round(((1/(sqrt(RC[-17])*.6))*if((RC[-16]=""male""),20,23)))","1 330","814","Alford, Doctor","1405","Individual","","","","0","Doctor Alford","20412","","","","",""
"Flags in the Dust","FD","Doctor Lucius Peabody","","White","Male","Upper Class","Secondary","Alive","","Professional","Doctor","","January 1st, 1830 to January 1st, 1832","Jefferson Doctor's Office","<p>""The fattest man in Yocona"" (as Faulkner names the county in this first Yoknapatawpha fiction) and almost ninety (94), Dr. Peabody is a fixture in the lives of many of Faulkner's characters, and the only character to appear in each of the first three Yoknapatawpha novels.  Colonel Sartoris' regimental surgeon during the Civil War, he remains a close friend of the family and still practices medicine the old-fashioned way.</p><br />","","0xFFFFFF","5","","showCharHover","t","Doctors' offices","49","","","","""Beyond"", ""Fool About a Horse"", As I Lay Dying, The Hamlet, The Reivers , The Sound and the Fury, The Town","i(The Sound and the Fury); i(As I Lay Dying); i(The Hamlet); i(Requiem for a Nun); i(The Town); i(The Reivers); ""Beyond""","","=round(((1/(sqrt(RC[-17])*.6))*if((RC[-16]=""male""),20,23)))","1 280","814","Peabody, Doctor Lucius","1406","Individual","","","","0","Doctor Lucius Peabody","20410","","","","",""
"Flags in the Dust","FD","V.K. Suratt","V.K. Ratliff","White","Male","Lower Class","Secondary","Alive","","Sales and Service","Sewing Machine Salesman","","January 1st, 1879 to December 31st, 1889","Jefferson Doctor's Office","<p>Suratt plays a minor role in Faulkner's first Yoknapatawpha novel, but in time will re-appear in nine more of  Faulkner's works, though beginning with ""A Bear Hunt"" (1934) he is named V. K. Ratliff; Faulkner made the change after a real person named Suratt objected.  A traveling salesman, based in Jefferson, who sold mainly sewing machines, but also on occasion parlor organs, radios, and televisions, Suratt grew up on a farm, and was a neighbor of the Snopes family.  Much later in Faulkner's career he reveals that Ratliff is descended directly from one of the first white inhabitants of Yoknapatawpha, and that the ""V.K."" stands for ""Vladimir Kyrilytch.""  In the last two volumes of the Snopes trilogy Faulkner uses him as one of the books' three narrators.</p><br />","","0xFFFFFF","10","","showCharHover","t","Doctors' offices","50","","","Yoknapatawpha","""A Bear Hunt"", ""By the People"", ""Centaur in Brass"", ""Lizards in Jamshyd’s Courtyard"", ""Spotted Horses"", As I Lay Dying, The Hamlet, The Mansion, The Town","i(As I Lay Dying); i(The Hamlet); i(The Town); i(The Mansion); ""Lizards in Jamshyd's Courtyard""; ""Centaur in Brass""","","=round(((1/(sqrt(RC[-17])*.6))*if((RC[-16]=""male""),20,23)))","1 230","814","Suratt, V.K.","1407","Individual","","","","0","V.K. Suratt|Ratliff","20572","","","","",""
"Flags in the Dust","FD","Hub","","White","Male","Poor White","Secondary","Alive","","Farming","Farmer or Tenant Farmer","Hub's Farm","","Jefferson Doctor's Office","<p>The young farmer who provides the moonshine that fuels the road trip Young Bayard takes to Oxford.  He is married, and has a sister or a daughter named Sue, but his character seems summed up when he tells Suratt that he ""dont give a damn"" if anyone tells where the whiskey came from (138).</p><br />","","0xFFFFFF","","","showCharHover","t","Doctors' offices","51","","","","","","","=round(((1/(sqrt(RC[-17])*.6))*if((RC[-16]=""male""),20,23)))","1 180","814","Hub","1408","Individual","","","","0","Hub","21506","","","","",""
"Flags in the Dust","FD","Virgil Beard","","White","Male","Lower Class","Secondary","Alive","","","","Beard Hotel","January 1st, 1907 to December 31st, 1909","Beard Hotel","<p>A ""pale, quiet boy of twelve or so"" (104),  Virgil is the son of the people who own the boarding house where Byron Snopes lives.  To disguise his handwriting in the letters he sends Narcissa, Byron gets Virgil to write them by promising to buy him an air rifle.  Despite Snopes' attempts to dodge that promise, Virgil is shrewd enough to make sure that he gets his gun - and promptly uses it to kill a mockingbird.</p><br />","","0xFFFFFF","","","showCharHover","t","Beard boarding house","53","","","Yoknapatawpha","","","","=round(((1/(sqrt(RC[-17])*.6))*if((RC[-16]=""male""),20,23)))","1 156","783","Beard, Virgil","1409","Individual","","","","0","Virgil Beard","20548","Mrs. Beard  ;Will C. Beard","","","",""
"Flags in the Dust","FD","Rafe MacCallum","Rafe McCallum","White","Male","Yeoman","Secondary","Alive","McCallum|MacCallum","Farming","","MacCallum|McCallum Place","January 1st, 1877 to December 31st, 1877","Jefferson Courthouse and Square","<p>A son of Virginius MacCallum, Sr., and twin brother of Stuart.  He is named for Raphael Semmes, the Confederate naval officer who commanded the <em>Alabama</em> during the Civil War. He is an old friend of the Sartoris twins, John and Bayard, and tries to help Bayard with his pain by offering homemade whisky and a chance to talk about the war.</p><br />","","0xFFFFFF","5","","showCharHover","t","Courthouse square","66","","","Yoknapatawpha","""The Tall Men"", As I Lay Dying, The Mansion","i(As I Lay Dying); i(Knight's Gambit); i(The Mansion); ""The Tall Men""","","=round(((1/(sqrt(RC[-17])*.6))*if((RC[-16]=""male""),20,23)))","1 291","783","MacCallum, Raphael Semmes","1410","Individual","","","","0","Rafe MacCallum","18912","Virginius MacCallum's First Wife;Virginius MacCallum, Sr.","","","MacCallumsInFD",""
