"SourceTextTitle","SourceTextCode","LocationKey","LocationTitle","Type","Authority","OtherTexts","Cemetery X","Cemetery Y","Description","activityPercent","activityURL","excerpt","hgt","lab_old","mark","pageOccurences","wid","Display Label","Status","Other Structure","Role","SortName","True X","True Y","Region","AuthOtherTexts"
"Flags in the Dust","FD","1308","South America","OutOfYoknapatawpha","Text (when unambiguous)","""Knight's Gambit"", Absalom, Absalom!, The Mansion","2 365","1 440","<p>Harry Mitchell offers Gavin Stevens ""a package of cigarettes which he imported from South America"" (193).</p>","","","","","","","","","South America","Continuous","Continent","Only Mentioned in Text","South America","","","",""
"The Mansion","M","1307","Asia","OutOfYoknapatawpha","Text (when unambiguous)","","2 095","1 320","<p>While various Asian locations appear in the canon as early as <em>Flags in the Dust</em>, V.K. Ratliff's reference to ""Asia"" in this novel is the only time the continent itself is named.  The reference occurs in a description of how the world is growing darker during the late 1930s, as events carry it toward a second World War - or as Ratliff puts it, ""we watched the lights go out in Spain and Ethiopia, the darkness that was going to creep eastward across all Europe and Asia too"" (198).</p>","","","","","","","","","Asia","Continuous","Continent","Only Mentioned in Text","Asia","","","",""
"Intruder in the Dust","ID","603","Europe","OutOfYoknapatawpha","Text (when unambiguous)","""Delta Autumn"", ""Smoke"", Absalom, Absalom!, Go Down, Moses, Sanctuary","2 480","1 288","<p>""Europe"" plays different roles in the novel's three references to it.  When Gavin Stevens talks ""for three hours"" with the unnamed out-of-town architect about ""Europe and Paris and Vienna,"" the continent is clearly a way for Americans of education and cultural sophistication to recognize each other (54). Later, when Gavin is talking to his nephew about race relations, the way he locates the U.S. - and perhaps specifically the segregated South - in relation to ""Europe"" is much less comfortable: what Gavin means by ""the trouble with our relations with Europe right now"" is ambiguous, but clearly <em>this</em> ""Europe"" not a tourist site (146).  Gavin is still speaking on the subject of race when ""Europe"" is mentioned for the third time: he distinguishes Southerners as ""a homogeneous people"" from ""the coastal spew of Europe"" which inhabitants America's ""coastal"" cities (150).</p>","","","","","","","","","Europe","Continuous","Continent, City","Only Mentioned in Text","Europe","","","W",""
"Absalom, Absalom!","AA","603","Europe","OutOfYoknapatawpha","Text (when unambiguous)","""Delta Autumn"", ""Smoke"", Go Down, Moses, Sanctuary","2 480","1 288","<p>The ""fanlight"" above the front door of Sutpen's mansion in <em>Absalom!</em> was ""imported pane by pane from Europe"" (150).</p>","","","","","","","","","Europe","Continuous","Continent","Only Mentioned in Text","Europe","","","",""
"Light in August","LA","055","Europe in World War I","OutOfYoknapatawpha","Text (when unambiguous)","""Ad Astra"", ""All the Dead Pilots"", ""Death Drag"", ""The Tall Men"", ""There Was a Queen"", ""Two Soldiers"", As I Lay Dying, Flags in the Dust, Requiem for a Nun, The Mansion, The Town","2 480","1 288","<p>'Europe in World War I' is one of the locations that appear most frequently in the Yoknapatawpha fictions.  In this novel that place and time appear only negatively, when the narrative notes that Percy Grimm was born too late ""to have been in the European War"" (450).</p>","","","","","","","","","Europe in World War I","Continuous","Combat Zone","Only Mentioned in Text","Europe in World War I","","","W",""
"Sanctuary","SY","603","Europe","OutOfYoknapatawpha","Text (when unambiguous)","""Delta Autumn"", ""Smoke"", Go Down, Moses","2 504","1 307","<p>Twice in the novel Horace tells himself that ""when this is over, I'll go to Europe"" (134, see also 260).  He isn't more specific, and in fact the novel makes it clear that in the end he goes back to Belle.  But his evocation of Europe as a place to escape to is an interesting twist on the way so many other inhabitants of Yoknapatawpha see 'Texas' as a place of refuge.</p>","","","","","","","","","Europe","Continuous","Continent","Only Mentioned in Text","Europe","","","",""
"Light in August","LA","1213","Africa","OutOfYoknapatawpha","Text (when unambiguous)","""Red Leaves"", Absalom, Absalom!, Requiem for a Nun, The Hamlet, The Reivers","2 514","1 370","<p>The only time ""Africa"" is mentioned in the novel, it's as an adjective and as a figure to suggest the absolute racial difference between 'white' and 'African': according to the narrative, the white man whom Joe finds sitting on Bobbie's bed might have been Max's brother, ""in the sense that any two white men strayed suddenly into an African village might look like brothers to them who live there"" (214).  Given the immediate context - the perspective of Joe Christmas, who never knows if he is 'white' or 'Negro,' and whose ""parchmentcolored"" skin does not help him resolve the uncertainty (120) - the use of ""Africa"" here is striking.</p>","","","","","","","","","Africa","Continuous","Continent; African Country","Only Mentioned in Text","Africa","","","",""
"The Mansion","M","1305","Columbus, Mississippi","OutOfYoknapatawpha","Text (when unambiguous)","","2 395","360","<p>In a passage about the possibility of an airfield being built in Yoknapatawpha, Faulkner locates his county in between ""the flatter prairie land to the east near Columbus"" and ""the perfectly flat Delta land to the west near Greenville"" (358).  Columbus lies about one hundred miles southeast of 'Jefferson,"" i.e. Oxford.  If you imagined Yoknapatawpha somewhere on a straight line drawn between Columbus and Greenville, it would be about a hundred miles south of Oxford, which is where Jefferson is usually presumed to be; perhaps in using these reference points, Faulkner is deliberately making it harder to locate his imaginary county on a real map of the state.  We also use Columbus as the site of the ""ground school"" where Charles Mallison goes for ""pre-flight"" training, as we did in ""Knight's Gambit"" as well (283).</p>","","","","","","","","","Columbus","Continuous","Town","Site of Event","Columbus, Mississippi","","","R",""
"The Mansion","M","1306","Greenville, Mississippi","OutOfYoknapatawpha","Text (when unambiguous)","","2 300","395","<p>In a passage about a possible government airfield in Yoknapatawpha, Faulkner locates the county in between ""the flatter prairie land to the east near Columbus"" and ""the perfectly flat Delta land to the west near Greenville"" (358).  Greenville lies next to the Mississippi River, about 130 miles southwest of 'Jefferson,' that is, Oxford, Mississippi.  By using Greenville as the westward marker rather than, say, Clarksdale, which is 70 miles north of Greenville and still south of Oxford, Faulkner makes it harder to pinpoint the location of his imaginary county.</p>","","","","","","","","","Greenville","Continuous","Town","Only Mentioned in Text","Greenville, Mississippi","","","R",""
"The Mansion","M","1042","Italy","OutOfYoknapatawpha","Text (when unambiguous)","""Knight's Gambit"", Absalom, Absalom!, Flags in the Dust, Requiem for a Nun, The Town","2 502","1 307","<p>Most of the novel's references to Italy concern the fighting in Ethiopia that, along with the Spanish Civil War, was a precursor to World War II, and the Fascist who led the country at the time, Benito Mussolini.  According to Ratliff's disparaging view of the darkening situation in Europe, Mussolini is not as dangerous as Hitler, ""because all Mussolini has to work with are Italians while this other man has Germans"" (179).</p>","","","","","","","","","Italy","Continuous","European Country","Only Mentioned in Text","Italy","","","W",""
"The Mansion","M","213","Alabama","OutOfYoknapatawpha","Text (when unambiguous)","""A Rose for Emily"", ""Elly"", ""Hair"", ""Race at Morning"", ""Raid"", ""The Unvanquished"", Requiem for a Nun, Sanctuary, The Reivers , The Unvanquished","2 434","375","<p>The ""cattle truck"" that gives Mink a ride to the Junction is ""going on east to Alabama"" after it drops him off (435).</p>","","","","","","","","","Alabama","Continuous","State","Only Mentioned in Text","Alabama","","","R",""
"The Reivers","R","1213","Africa","OutOfYoknapatawpha","Text (when unambiguous)","""Red Leaves"", Absalom, Absalom!, Requiem for a Nun, The Hamlet","2 514","1 370","<p>""Africa"" is mentioned in the novel's brief biography of Paul Rainey, a real person who - as the narrator notes - was a hunter and ""a hound man primarily""; he ""took his pack of bear hounds to Africa to see what they would do on lion or vice versa"" (163).</p>","","","","","","","","","Africa","Continuous","Continent; African Country","Only Mentioned in Text","Africa","","","W",""
"Absalom, Absalom!","AA","1213","Africa","OutOfYoknapatawpha","Text (when unambiguous)","""Red Leaves"", Requiem for a Nun, The Hamlet, The Reivers","2 514","1 370","<p>""Africa"" appears explicitly in the novel only as an adjective, when in its penultimate paragraph Shreve tells Quentin that ""in a few thousand years"" they ""will also have sprung from the loins of African kings"" (302).  But in Chapter 7, in the context of Sutpen's experience in Haiti, there are references to ""what we call the jungle"" and ""the dark inscrutable continent"" that is the source of ""the black blood"" that is supposedly in the veins of 'black' people (202).</p>","","","","","","","","","Africa","Continuous","Continent; African Country","Only Mentioned in Text","Africa","","","",""
"""Red Leaves""","RL","1304","New England","OutOfYoknapatawpha","Text (when unambiguous)","","2 550","823","<p>The captain of the slave ship that carries the enslaved servant across the Atlantic is from ""New England"" (330).</p>","","","","","","","","","New England","Continuous","American Region","Only Mentioned in Text","New England","","","N",""
"""Red Leaves""","RL","1303","Siam","OutOfYoknapatawpha","Text (when unambiguous)","","2 115","1 334","<p>Before 1949, the country now known as Thailand was called ""Siam"" by western nations.  Siam appears in ""Red Leaves"" when, in his description of Three Basket and Louis Berry on the first page of the story, the narrator compares their faces to the appearance of ""carved heads on a ruined wall in Siam or Sumatra, looming out of a mist"" (313).   It's not clear that this analogy would help many of Faulkner's readers see the two Indians more clearly, but it certainly locates them in an exotic context.</p>","","","","","","","","","Siam","Continuous","Foreign Country","Only Mentioned in Text","Siam","","","W",""
"""Red Leaves""","RL","1302","Sumatra","OutOfYoknapatawpha","Text (when unambiguous)","","2 112","1 375","<p>In his description of Three Basket and Louis Berry on the first page of the story, the narrator compares their faces to the appearance of ""carved heads on a ruined wall in Siam or Sumatra, looming out of a mist"" (313).  Sumatra is a large island that is part of the Asian nation of Indonesia.  It's not clear that this analogy would help many of Faulkner's readers see the two Indians more clearly, but it certainly locates them in an exotic context.</p>","","","","","","","","","Sumatra","Continuous","Foreign Country","Only Mentioned in Text","Sumatra","","","W",""
"The Unvanquished","UV","951","Memphis Junction|Junction-Point|Tennessee Junction","OutOfYoknapatawpha","Speculation","""Hair"", The Mansion","2 350","300","<p>Bayard and Ringo travel to ""Tennessee Junction"" when Aunt Jenny comes from Carolina to join her brother John Sartoris in Mississippi (235).  No other details about this place are given, but it's likely that Faulkner is thinking of the place he calls ""Memphis Junction"" on his 1936 map of Yoknapatawpha.</p>","","","","","","","","","Tennessee Junction","Continuous","Railroad Station; Town","Only Mentioned in Text","","","","R",""
"Flags in the Dust","FD","421","Jefferson Negro Church","Church","Speculation","","1 245","735","<p>This church - referred to by its unnamed pastor as the ""late Fust Baptis' church"" (286) - has already been ""burnt down"" before the novel begins (240).  It is mentioned in the novel in the comic context of Simon's misappropriation of the funds that the Negro congregation has been saving to replace it with a Second Baptist church.  The narrative says nothing more about how it was burned down, and provides no details that would help us identify where it stood.  The place we give it on the map is in the part of Jefferson that other fictions refer to as the Negro section of town - but it could certainly have been elsewhere.  (There are active Negro churches mentioned in five other fictions, and there's a good chance they were Baptist too, but this is the only text that specifies a denomination.)</p>","","","","","","","","","Burned Negro Church","Destroyed","Church","Only Mentioned in Text","Burned Negro Church","","","",""
"Flags in the Dust","FD","1301","Negro Cabin Where Simon Is Killed","Cabin","Other Text(s)","","1 210","735","<p>This is the ""negro cabin in town"" where, at the end of the novel, Simon Strothers is found murdered by an unidentified killer; the cause of death is ""a blunt instrument anonymously wielded"" (394).  Given what the novel had revealed earlier, however, about Simon's relationship with Meloney Harris (see 241), it seems likely that the cabin is hers, and that the murder weapon was wielded by a man in her life who took exception to Simon's presence in the cabin.  We also have to speculate about where ""in town"" the cabin should be located.  The place we chose is in the section of Jefferson that is identified as a Negro neighborhood in other fictions.</p>","","","","","","","","","Negro Cabin in Town","Continuous","Negro-occupied Cabin","Site of Event","Negro Cabin in Town","","","","Light in August"
"The Town","T","631","Heidelberg University, Germany","OutOfYoknapatawpha","Text (when unambiguous)","""By the People"", ""Knight's Gambit"", Intruder in the Dust, Requiem for a Nun, The Mansion","2 508","1 279","<p>Heidelberg University in western Germany was founded in 1386.  Gavin Stevens became the most educated man in Yoknapatawpha when he took his doctorate there early in the 20th century.</p>","","","","","","","","","Heidelberg University","Continuous","School","Only Mentioned in Text","Heidelberg University","","","",""
"""By the People""","BP","631","Heidelberg University, Germany","OutOfYoknapatawpha","Text (when unambiguous)","""Knight's Gambit"", Intruder in the Dust, Requiem for a Nun, The Mansion, The Town","2 508","1 279","<p>Heidelberg University in western Germany was founded in 1386.  Gavin Stevens became the most educated man in Yoknapatawpha when he took his doctorate there early in the 20th century.</p>","","","","","","","","","Heidelberg University","Continuous","School","Only Mentioned in Text","Heidelberg University","","","",""
"Requiem for a Nun","RQ","631","Heidelberg University, Germany","OutOfYoknapatawpha","Text (when unambiguous)","""By the People"", ""Knight's Gambit"", Intruder in the Dust, The Mansion, The Town","2 508","1 279","<p>Heidelberg University in western Germany was founded in 1386.  Gavin Stevens became the most educated man in Yoknapatawpha when he took his doctorate there early in the 20th century.</p>","","","","","","","","","Heidelberg University","Continuous","School","Only Mentioned in Text","Heidelberg University","","","",""
"The Mansion","M","631","Heidelberg University, Germany","OutOfYoknapatawpha","Text (when unambiguous)","""By the People"", ""Knight's Gambit"", Intruder in the Dust, Requiem for a Nun, The Town","2 508","1 279","<p>Heidelberg University in western Germany was founded in 1386.  Gavin Stevens became the most educated man in Yoknapatawpha when he took his doctorate there early in the 20th century.</p>","","","","","","","","","Heidelberg University","Continuous","School","Only Mentioned in Text","Heidelberg University","","","",""
"The Mansion","M","1227","Argentina","OutOfYoknapatawpha","Text (when unambiguous)","""Knight's Gambit""","2 365","1 449","<p>The unnamed ""steeple-chasing cavalry officer"" is from Argentina (282).  (In <em>The Mansion</em> he is named Sebastian Gualdres.)</p>","","","","","","","","","Argentina","Continuous","Foreign Country","Only Mentioned in Text","Argentina","","","W",""
"The Reivers","R","1289","Atlanta, Georgia","OutOfYoknapatawpha","Text (when unambiguous)","The Unvanquished","2 453","979","<p>During the Civil War Atlanta was an important railroad hub.  The ""retreat on and then from Atlanta"" mentioned in the novel as part of General Compson's biography took place over the summer of 1864 (20).  Union forces under Sherman finally occupied the city on September 2, 1864.</p>","","","","","","","","","Atlanta","Continuous","Combat Zone","Site of Event","Atlanta, Georgia","","","",""
"The Reivers","R","1295","Shiloh, Tennessee","OutOfYoknapatawpha","Text (when unambiguous)","""Appendix: Compson"", ""Raid"", Absalom, Absalom!, The Unvanquished","2 375","260","<p>Shiloh, in southwestern Tennessee, was the location of a major battle during the Civil War on April 6-7th, 1862.  In the South the battle was referred to as Pittsburg Landing.</p>","","","","","","","","","Shiloh","Continuous","Combat Zone","Site of Event","Shiloh","","","",""
"""By the People""","BP","1299","Back-country Cabins","Cabin","Speculation","","1 619","1 137","<p>This represents the the various country homes, including the ""remotest back-country dog-trot cabins,"" that Ratliff visits as a door-to-door salesman of sewing machines and other appliances (86).  Of course, in this instance the doors are typically a long way apart, and Ratliff drives a truck on ""the remotest back country roads"" to reach and move between them (86).  They are presumably scattered on small farms around the county, but all we know about their location is that they are ""remote"" from Jefferson.  Ratliff holds his sales presentations in the ""shady yard"" outside the cabin (86).</p>","","","","","","","","","Back-country Cabins","Continuous","White-occupied cabin","Site of Event","Back-country Cabins","","","",""
"Sanctuary","SY","1244","Memphis: Memphis Streets","OutOfYoknapatawpha","Context (text, as interpreted)","""Two Soldiers""","727","226","<p>Fonzo and Virgil spend their first hours in Memphis wandering the main streets, looking for a hotel they can afford.  In addition to the Gayoso, which has its own entry, they look in the door of another, unnamed hotel, they walk past ""frame houses and junk yards,"" and near Miss Reba's they see ""a row of automobile sales-rooms"" (191).</p>","","","","","","","","","Main Streets","Continuous","City","Site of Event","Memphis: Main Streets","2324","271","",""
"Sanctuary","SY","259","Michigan","OutOfYoknapatawpha","Text (when unambiguous)","""Knight's Gambit"", Intruder in the Dust, Light in August, Requiem for a Nun","2 442","852","<p>According to Clarence Snopes, who cites the Jackson newspaper as his source, Temple Drake is staying ""with an aunt"" in Michigan after leaving college (176).  Apparently the Drake family creates this fiction to cover the fact that Temple has disappeared.</p>","","","","","","","","","Michigan","Continuous","State","Only Mentioned in Text","Michigan","","","",""
"Sanctuary","SY","169","Jefferson Baptist Church","Church","Context (text, as interpreted)","""Hair"", ""Uncle Willy"", Absalom, Absalom!, Requiem for a Nun, The Town","1 255","780","<p>Horace Benbow tells Aunt Jenny about the sermon that ""the Baptist minister"" preaches the first Sunday after Lee Goodwin is arrested.  Horace was not present at the church in person, so it's not clear how he heard about it, but he emphasizes the unforgivingly judgmental nature of the sermon.  Jenny replies, ""They're just Baptists"" (128).</p>","","","","","","","","","Baptist Church","Continuous","Church","Site of Event","Baptist Church","","","J",""
"Sanctuary","SY","1298","Woods at Old Frenchman Place","Event","Text (when unambiguous)","","1 950","1 498","<p>Behind the barn at the Old Frenchman place is a wooded area where birds sing amid ""the new green"" of spring and the brown of ""last year's dead leaves,"" and where ""he"" - probably Tommy - watches Temple goes to the bathroom (91).</p>","","","","","","","","","Woods","Continuous","Woods|Wilderness","Site of Event","Woods at Old Frenchman Place","","","",""
"Sanctuary","SY","1297","Horace Benbow's Homeward Journey","OutOfYoknapatawpha","Context (text, as interpreted)","","2 331","326","<p>On his journey from his house in Kinston back to Yoknapatawpha, Horace ""bums rides"" from truck drivers and others, spending the nights in, successively, ""a sawdust pile at a mill,"" ""a negro cabin"" and ""a freight car on a siding"" (16).</p>","","","","","","","","","Horace's Homeward Journey","Continuous","Mill; Negro-occupied Cabin; Railroad","Site of Event","Horace's Homeward Journey","","","R",""
"The Sound and the Fury","SF","1296","Spot on Road where Jason Discovers His Headache","Event","Context (text, as interpreted)","","1 278","1 415","<p>Just after Jason has ""passed churches"" on his furious drive to Mottson, he realizes that he is about to get one of the severe headaches that the smell of gasoline gives him (306).  He stops abruptly to search his car for one of the ""handkerchiefs soaked in camphor"" he usually wears over his nose, but finds nothing (307).  For the rest of the trip his head is ""throbbing"" (308).</p>","","","","","","","","","Spot where Jason Stops","Continuous","Country Road","Site of Event","Spot where Jason Stops","","","",""
"""Knight's Gambit""","KGB","110","Jefferson Railroad Line","Event","Text (when unambiguous)","""Knight's Gambit"", ""Mule in the Yard"", Light in August, Requiem for a Nun, The Mansion, The Town","1 251","307","<p>Near the end of the novella Charles Mallison rides the train through Jefferson on his way to his new military assignment.  From the moving train he notes the familiar landmarks of his hometown, and especially the Negro and the white residential sections along the tracks.</p>","","","","","","","","","On the Train into Jefferson","Continuous","Railroad Track","Site of Event","","","","",""
"The Sound and the Fury","SF","107","Sewanee University, Tennessee","OutOfYoknapatawpha","Text (when unambiguous)","Flags in the Dust","2 460","248","<p>In one of the many passages where Jason lists his grievances to himself, he compares Harvard, where ""they teach you how to go for a swim without knowing how to swim,"" to ""Sewanee,"" where ""they dont even teach you what water is"" (196).  Affiliated with the Episcopal Church, Sewanee: The University of the South is located in Sewanee, Tennessee - but it's not clear why Jason thinks of it in this way, or at all.  He resents the money his parents spent to send Quentin to Harvard, but there's no evidence anyone in the family went to Sewanee.  Jason's dead father and his uncle Maury are both confirmed drinkers; perhaps one of them went to Sewanee, and Jason is bitterly thinking should have learned there to drink water instead - but that's an interpretive speculation.  (In <em>Flags in the Dust</em> both Horace Benbow and his father Will went to Sewanee.)</p>","","","","","","","","","Sewanee","Continuous","School","Only Mentioned in Text","","","","",""
"Intruder in the Dust","ID","1000","Jefferson Marshal's Station","Public building","Context (text, as interpreted)","The Town","1 276","810","<p>This ""little cubbyhole of an office in an alley"" off the Square is where the town's night marshal is supposed to keep watch; it has ""a stove and a telephone"" (207).  The marshal won't stay there, however, spending his time instead in ""the cafe"" nearby that ""stays open all night"" (206) - which has led the town to connect the telephone to ""a big burglar alarm bell on the outside wall"" of the office, to make sure someone in the cafe will hear it ringing and alert the marshal (207).</p>","","","","","","","","","Night Marshal's Office","Continuous","Civic Office","Only Mentioned in Text","","","","",""
"The Mansion","M","015","Jefferson Cemetery Monuments","Statue","Text (when unambiguous)","The Town","1 240","699","<p>This novel briefly refers back to an event that is described much more elaborately in <em>The Town</em>, when the Eula Snopes' memorial at the cemetery is completed with the edition of the medallion of her face that her daughter Linda and Gavin Stevens arranged to have carved in Italy and fixed to the ""white monument"" that her husband Flem erected over her grave, with its profoundly ironic tribute to her as his ""virtuous wife"" (165-66).</p>","","","","","","","","","Eula Snopes' Monument","Built","Cemetery Monument","Only Mentioned in Text","","","","",""
"The Town","T","015","Jefferson Cemetery Monuments","Statue","Text (when unambiguous)","The Mansion","1 240","699","<p>The marble ""colyum"" (to quote Ratliff, 371) that Flem Snopes erects in the town cemetery to Eula betrays not just the truth but the greatness of his wife, especially the epitaph that Flem has inscribed upon it: ""A virtuous Wife is a Crown to her Husband,"" etc. (372).  But Eula's daughter Linda and Gavin Stevens, her would-be champion, redeem this act of hypocrisy and tastelessness by finding ""the right photograph"" of her face and sending it to Italy ""to be carved into a medallion to fasten onto the front of the monument"" (366).  Ratliff, not noted for sentimentality, is genuinely moved by this image of her when it's finally in its ordered place.</p>","","","","","","","","","Eula Snopes' Monument","Built","Cemetery Monument","Site of Event","","","","",""
