"Code","LocationName","Authority","Description","DisplayLabel","DisplayType","X","Y","LocDescription","DisplayName","JeffersonDescription","JeffersonLabel","JeffersonX","JeffersonY","SortName","Region"
"013","Hightower House","","","","","","","<p>The house that Hightower buys in <em>Light in August</em> when he is forced to give up the church with its parsonage is a ""dead and empty small house"" on a ""dead and empty little street"" (310): ""unpainted, small, obscure, poorly lighted, mansmelling, manstale"" (48). Maples, crepe myrtle, syringea, and althea grow in the small yard. On the corner of the yard is an old sign, ""three feet long and eighteen inches high,"" which advertises art lessons, hand-painted greeting cards, and photograph developing (58).  Faulkner's working title for the novel was ""The Dark House,"" but it's not known whether he meant this house or the equally dark house in which Joanna Burden lives - or perhaps another place entirely.  There are a number of 'dark houses' in Yoknapatawpha.</p>
","Hightower House","","","","","Hightower House","J"
"014","Jefferson Cemetery","Faulkner map","<p>The public cemetery on the edge of Jefferson is one of the busiest places in Faulkner's imagination.  Both his first Yoknapatawpha novel, <em>Flags in the Dust</em>, and (almost three decades later) the second volume in the Snopes Trilogy, <em>The Town</em>, basically end there.  This is the cemetery to which Benjy Compson is being taken - though he does not get there - at the end of Faulkner's second Yoknapatawpha novel, <em>The Sound and the Fury</em>, and to which the Bundren family are taking the body of Addie through most of the third one, <em>As I Lay Dying</em>.  Altogether it appears in eight novels and four short stories.  It is landscaped with ""pointed cedars and doves and serene marble shapes"" (<em>Flags in the Dust</em>, 173) - or as the narrator of ""A Rose for Emily"" puts it, it is ""cedar-bemused"" (<em>Collected Stories</em>, 119).  It seems entirely non-denominational; even Yankee soldiers are buried there, alongside Confederate ones.  On the other hand, like almost everything in Yoknapatawpha, it is racially segregated.  For example, the deceased members of the Sartoris family lie together around the imposing statue of Colonel John in the cemetery's ""whitefolks section,"" but the head of the family that lives with the Sartorises for generations and serves them as slaves and then servants is buried in ""the negro ground"" outside ""the cemetery proper""; his grave is marked by ""tedious rows of broken gaudy bits of crockery and colored glass"" (<em>Flags</em>, 396-97).  On the tombstones are many of the county's most ""august names"" (<em>Stories</em>, 119), as well as three with the name ""Snopes"" on them: Eck's, though after he is blown up all they could bury was his neck brace; Eula's, on another imposing monument that includes a beautiful imported marble medallion of her face that was designed and ordered by Gavin Stevens and a preposterously inappropriate epitaph that was chosen by her husband Flem; and at the end of the third volume of his trilogy, <em>The Mansion</em>, Flem himself.  Eck's neck brace isn't the most bizarre item in the cemetery; that has to be the hand of the outlaw Grumby, which is cut off and wired to Rosa Millard's make-shift tombstone by Bayard and Ringo, the two boys who called her ""Granny"" in <em>The Unvanquished</em>.</p>
<p><strong>Occupants:</strong> John Sartoris, Bayard Sartoris II, John Sartoris II, Lucy Cranston Sartoris, Bayard Sartoris III,  [Johnny Sartoris], Simon Struthers, Confederate Soldiers, Union Soldiers, Emily Grierson, Quentin Compson, Jason Compson III, Addie Bundren, Mrs. Hightower, Howard Allison II, Judge Allison, Rosa Millard, Grumby's hand, Rosa Coldfield, Temple and Gowan's murdered infant daughter, Eula Varner Snopes, Flem Snopes, Eck Snopes' neck brace.</p>
","Jefferson Cemetery","cemeteries","1269","714","<p>The public cemetery on the edge of Jefferson is one of the busiest places in Faulkner's imagination.  Both his first Yoknapatawpha novel, <em>Flags in the Dust</em>, and (almost three decades later) the second volume in the Snopes Trilogy, <em>The Town</em>, basically end there.  This is the cemetery to which Benjy Compson is being taken - though he does not get there - at the end of Faulkner's second Yoknapatawpha novel, <em>The Sound and the Fury</em>, and to which the Bundren family are taking the body of Addie through most of the third one, <em>As I Lay Dying</em>.  Altogether it appears in nine novels and four short stories.  It is landscaped with ""pointed cedars and doves and serene marble shapes"" (<em>Flags in the Dust</em>, 173) - or as the narrator of ""A Rose for Emily"" puts it, it is ""cedar-bemused"" (<em>Collected Stories</em>, 119).  It seems entirely non-denominational; even Yankee soldiers are buried there, alongside Confederate ones.  On the other hand, like almost everything in Yoknapatawpha, it is racially segregated.  For example, the deceased members of the Sartoris family lie together around the imposing statue of Colonel John in the cemetery's ""whitefolks section,"" but the head of the family that lives with the Sartorises for generations and serves them as slaves and then servants is buried in ""the negro ground"" outside ""the cemetery proper""; his grave is marked by ""tedious rows of broken gaudy bits of crockery and colored glass"" (<em>Flags</em>, 396-97).  On the tombstones are many of the county's most ""august names"" (<em>Stories</em>, 119), as well as three with the name ""Snopes"" on them: Eck's, though after he is blown up all they could bury was his neck brace; Eula's, on another imposing monument that includes a beautiful imported marble medallion of her face that was designed and ordered by Gavin Stevens and a preposterously inappropriate epitaph that was chosen by her husband Flem; and at the end of the third volume of his trilogy, <em>The Mansion</em>, Flem himself.  Eck's neck brace isn't the most bizarre item in the cemetery; that has to be the hand of the outlaw Grumby, which is cut off and wired to Rosa Millard's make-shift tombstone by Bayard and Ringo, the two boys who called her ""Granny"" in <em>The Unvanquished</em>.</p>
","Jefferson Cemetery","","","","","Jefferson Cemetery","J"
"015","Jefferson Cemetery Monuments","","","","","","","<p>Eventually there are two recognizable 'monuments' in the Jefferson public cemetery.  The first appears in the first Yoknapatawpha fiction, <em>Flags in the Dust</em>.  Colonel John Sartoris' imposing ""effigy and statue"" stands tall on a height overlooking the railroad he built, wearing a frock coat and an expression described as that ""haughty arrogance which repeated itself generation after generation with a fateful fidelity"" (399). There seems to be no question but that Faulkner based it on the statue of his great-grandfather, William C. Falkner, in the cemetery at Ripley, Mississippi.  This statue only appears in this one text, but here Faulkner gives it a significant role to play.  The car accident, for example, in which young Bayard Sartoris is responsible for the death of his grandfather, old Bayard, the Colonel's son, occurs ""directly"" under ""John Sartoris' effigy"" with ""its florid stone gesture"" (326), and the Colonel's sister's visit to the cemetery near the end of the novel provides an occasion to describe the statue, and quote its inscription, and sound the elegiac note on which <em>Flags</em> closes (399).  At the other end of Faulkner's career, in the last two volumes of the Snopes trilogy, another monument is erected in this cemetery.  It's paid for by Flem Snopes, who is in many ways the Sartorises' antithesis, and if there are good reasons to question the heroic claims made by the Colonel's statue and its epitaph - ""For man's enlightenment he lived,"" etc. (<em>Flags</em>, 399) - the tribute Flem pays to his wife Eula on her monument - ""A virtuous Wife is a Crown to her Husband,"" etc. (<em>The Town</em>, 372) - is preposterous.  But the marble ""medallion"" of Eula's face that her daughter Linda and her would-be knight Gavin Stevens have had made in Italy and then affixed to the marble ""monument"" that Flem erected is clearly meant to evoke the kind of great passions associated with tragic loss (366).  To quote what V.K. Suratt says about it in <em>The Mansion</em>: ""that face that even if it was carved outen dead stone, was still the same face that ever young man no matter how old he got would still never give up hope and belief that some day before he died he would finally be worthy to be wrecked and ruined and maybe even destroyed by it"" (165-66).</p>
","Jefferson Cemetery Monuments","","","","","Jefferson Cemetery Monuments","J"
"017","Sutpen Plantation","","","","","","","<p>Sutpen's plantation has its origins in both Gothic fiction and Southern history.  It first appears in the short story ""Wash,"" where there is nothing to distinguish it from other Yoknapatawpha plantations with a ""big house"" and slaves (537).  In the novel <em>Absalom, Absalom!</em>, though, it becomes ""Sutpen's Hundred,"" the ""biggest single"" cotton plantation in antebellum Yoknapatawpha (56), ""a hundred square miles of some of the best virgin bottom land in the country"" (26).  Realistically, even in the context of Faulkner's imaginary world Yoknapatawpha would have to be a lot larger to contain a plantation of that size, but the obvious effect Faulkner is after is 'bigness.' In the novel the story of the plantation, from its beginnings in the 1830s to its decay and eventual destruction in the early 20th century, is a synecdoche for the story of the South. At the very moment that the Civil War begins, Sutpen's Hundred is at the height of its prosperity.  By the time Quentin Compson visits it and its ghosts on a dark summer night in 1909, the huge mansion - the ""largest edifice"" in the county, ""bigger than the courthouse"" (30), furnished with ""crystal chandeliers"" (33) and embellished with details like its ""formal door beneath its fanlight imported pane by pane from Europe"" (150) - ""looms"" like Poe's 'House of Usher': ""square and enormous, with jagged half-toppled chimneys"" and a ""sagging"" roofline, ""with a smell of desolation and decay as if the wood of which it was built were flesh"" (293).  And by the end of the novel it's consumed in a fire that was started by one of Sutpen's own children, ironically to protect another of his children - both of whom perish with the house.  As a plantation, it was originally worked by slaves; it is drastically reduced in size after the Civil War, when ""a portion of the Sutpen plantation"" is farmed ""on shares"" by Sutpen's own, unrecognized, grandson (169); still later the entire property ""reverts to the state,"" and is ""bought and sold and bought and sold again and again and again"" (173).  The other locations on the property described in the novel - the garden, the arbor, the gate and drive, the stable, the slave quarters, the graveyard and the store Sutpen opens - have their own Location entries in this index.</p>
","Sutpen Plantation","","","","","Sutpen Plantation","NW"
"018","Fishing Camp|Hunting Camp","","","","","","","<p>This camp in the wilderness on the southern side of the Tallahatchie River appears in a dozen different fictions, and is the scene of a number of major events - including the deaths of six human characters and a dog named Lion.  It first appears as the old shack where Wash lives with his granddaughter in ""Wash,"" which describes it memorably as ""a crazy shack on a slough in the river bottom on the Sutpen place, which Sutpen had built for a fishing lodge in his bachelor days and which had since fallen in dilapidation from disuse, so that now it looked like an aged or sick wild beast crawled terrifically there to drink in the act of dying"" (536).  Wash and Sutpen are two of the people who die there, in a violent event that also provides <em>Absalom, Absalom!</em> with one of its climactic horrors. In the other ten texts the camp belongs to Major de Spain, who converts it to a hunting camp which is described in increasingly elaborate terms.  In <em>Go Down, Moses</em> it is ""a paintless six-room bungalow set on piles above the spring high-water"" (184).  ""A Bear Hunt"" mentions the detached kitchen where the hunters' Negro servants eat and prepare meals for the white men. In Faulkner's last novel, <em>The Reivers</em>, around ""the lodge"" are also ""stables and kennels"" for the mules, horses and dogs (18).  In the hunting stories it often feels like a place to escape from time and history, especially as the site where Sam Fathers initiates Ike McCaslin into the eternal values of the big woods, but chronologically it begins as the blood-stained ground on which Wash and Sutpen destroy each other, and according to Ike's thoughts in ""Delta Autumn,"" by 1940 ""the house itself no longer exists"" (274).  (See also the entry for the Hunting Camp Kitchen in this index.)</p>
","Fishing Camp|Hunting Camp","","","","","Fishing Camp|Hunting Camp","NW"
"019","Site of Bayard's Second Accident","","","","","","","<p>The scene of the car accident where young Bayard is surprised by the sudden appearance of another vehicle and old Bayard Sartoris suffers a fatal heart attack is described first in <em>Flags in the Dust</em> as a sharp curve on the valley road, but three decades later, in <em>The Town</em>, as just over a hill.  The other vehicle is a Ford in the first instance, and a wagon carrying a Negro family in the second.  <em>Flags</em> locates the spot close enough to the Jefferson cemetery for the grand statue of Colonel John Sartoris - the father and great-grandfather of these two Bayards - to loom over the scene.  None of the other three texts which refer to the accident include that resonant detail.</p>
","Site of Bayard's Second Accident","","","","","Site of Bayard's Second Accident","NE"
"020","MacCallum|McCallum Place","","","","","","","<p>This spot is one of those Yoknapatawpha locations that changes dramatically, depending on Faulkner's imaginative concerns at different points in his career. On Faulkner's two maps of Yoknapatawpha the spot is home to two families, with three different names: the MacCallums (in <em>Flags in the Dust</em>), whose name is spelled McCallum in two later texts; and the McCaslins (in <em>Go Down, Moses</em> and elsewhere).  As the MacCallum|McCallum place, it was built in 1866 by Virginius MacCallum; as the McCaslin place it has its own location entry, but it's significant that in that incarnation the spot is the site of a large antebellum slave plantation.  There is no taint of slavery associated with the MacCallum|McCallum property.  They are identified as yeoman farmers rather than planters, and associated with hunting and making moonshine.  In <em>Flags</em> the farmland is largely neglected; in ""The Tall Men"" it is still being worked by the sons of Anse - as Virginius is called in the short story.  In both these texts and ""Knight's Gambit"" the place provides a kind of refuge from modernity as a locus of traditional virtues like independence, courage and loyalty.  Ike McCaslin - who is morally compelled to renounce the McCaslin place in <em>Go Down, Moses</em> - would have felt a lot more at 'home' at the McCallums'.</p>
","MacCallum|McCallum Place","","","","","MacCallum|McCallum Place","NE"
"021","Varner's Store","","","","","","","<p>Varner's country store is the established center of both the economic and social life of Frenchman's Bend, the hamlet usually located about twenty miles southeast of Jefferson.  It is one of the many properties owned by Will Varner, for whom many of the Bend's inhabitants work as tenants on small farms he also owns.  Since it is the only store in the area, and owned by the man they rent from, these 'sharecroppers' are expected to buy all their supplies and necessities there.  The tenantry system emerged during Reconstruction, and among its dire economic effects was the fact that during the year tenants became the landlord's debtors as well as his unpaid laborers, acquiring what <em>The Mansion</em> calls a ""furnish bill"" from the store (310).  When tenants finally brought in their cotton or corn in the fall, they owed the landlord both his large share of the crop and also that debt, with accrued interest. In <em>The Hamlet</em> Faulkner describes Varner ""making his yearly settlement with his tenants and debtors"" (67).  Socially, the store's front porch  - or 'gallery' - is where the men of the Bend regularly gather to talk when they aren't working their farms.  In <em>The Town</em> Gavin Stevens provides a description of the contents of the store: ""the racks of hames and plow-handles, the rank side meat and flour and cheap molasses and cheese and shoes and coal oil and work gloves and snuff and chewing tobacco and fly-specked candy"" (307).  Varner's is one of many such stores in Yoknapatawpha, but the one that appears most frequently in the fictions (eighteen altogether), in part because it is also the first rung on the ladder of upward mobility for Flem Snopes, who leaves the life of a sharecropper's son behind by getting hired as the store's clerk by Will's son Jody.</p>
","Varner's Store","","","","","Varner's Store","SE"
"022","Grenier Plantation|Old Frenchman Place","","","","","","","<p>The 'old Frenchman place' is the third plantation 'big house' Faulkner creates.  The first - Sartoris in <em>Flags in the Dust</em> - is still intact and prosperous over half a century after the Civil War.  The second - the Compson place in <em>The Sound and the Fury</em> - is falling into decay by then.  The old Frenchman place has already fallen by the time it first appears, in <em>Sanctuary</em>.  The novel actually describes it as if for the first time twice, from Gavin Stevens' point of view and then from Temple Drake's.  The ""gutted"" and ""gaunt weather-stained ruin"" of an antebellum mansion they both see (8, 41) serves Faulkner's imagination as the appropriate setting for a very Gothic tale, a sinister place defined by mobsters, murder and rape.  It re-appears in ten more fictions, and in the process gets located more clearly in the context of Southern history. The old Frenchman was one of Yoknapatawpha county's original white settlers, and his place the county's ""first big land patent,"" a slave plantation originally so ""vast"" that half of it was ""not even in Yoknapatawpha County"" (<em>Requiem for a Nun</em>, 6, 8).  Its ""tremendous house"" was designed by an ""imported and nameless architect""; no longer habitable, it has been reduced to a ""broken roof and topless chimneys and one high rectangle of window through which [one can] see the stars"" (<em>The Hamlet</em>, 375).  Since the Civil War the small farmers who live in Frenchman's Bend have been tearing it apart to use the wood as fuel.  In the Snopes trilogy, Flem Snopes acquires it when he marries Eula Varner.  Reputedly, the old Frenchman's silver is still buried somewhere on the property, which gives Flem a fraudulent way to use the remains of the house to climb another rung on the ladder that ultimately leads to a different 'mansion' in Jefferson.  This is one of those pieces of unreal estate in Yoknapatawpha that moves around: in earlier editions of <em>Sanctuary</em> the place is located ""twenty miles from town,"" but Polk's corrected text puts the distance at ""twelve miles"" (121).</p>
","Grenier Plantation|Old Frenchman Place","","","","","Grenier Plantation|Old Frenchman Place","SE"
"023","Bundrens' Farm","","","","","","","<p>In her section of <em>As I Lay Dying</em> Addie remembers the first time she met Anse, and mentioned his ""good farm"" (171).  Apparently that and his ""new house"" are important factors in her decision to marry him.  There's no suggestion in the novel that the Bundrens are sharecroppers - i.e. they own the farm and its fields - but like many of the other small cotton farmers in their part of Yoknapatawpha it's clear that they have to struggle for subsistence.  Physically, the Bundren farm sits below the bluff that the house is built on top of.   It features a cotton field with a path that ""runs straight as a plumb-line"" through the cotton rows toward the cottonhouse ""of rough logs, from between which the chinking has fallen.  Square, with a broken roof set at a single pitch, it leans in empty and shimmering dilapidation in the sunlight, a single broad window in two opposite walls giving onto the approach of the path"" (4).   On one side of the field are woods, and on the other, next to the path that leads up to the house, a road.  The farm also features a barn, wagon shed, pasture, and spring, all located at the bottom of the bluff.  We assume that the Mrs. Bundren who lives ""up past Whiteleaf"" in ""Spotted Horses"" is Addie - or in any case someone who lives on this farm too (174).</p>
","Bundrens' Farm","","","","","Bundrens' Farm","SE"
