"nid","family_name","family_key","text","sort_name","display_name","note","tree"
"19718","<a href=""/content/compsonsinac"">CompsonsInAC</a>","<a href=""/content/compsonfamily"">CompsonFamily</a>","<p>Nineteen years after Faulkner wrote <em>The Sound and the Fury</em>, he added this ""Appendix Compson"" at the request of Malcolm Cowley, who wanted <em>The Portable Faulkner</em> he was putting together for Viking to include something like the ""Genealogy"" Faulkner created for <em>Absalom, Absalom!</em>   As he did so, Faulkner decided to take the Compson saga back to 18th-century Scotland, which added four new members to the family, and to update the biographies of the four younger Compsons who were alive at end of the novel.   His commentaries often change details from the novel - for example, here Benjy is castrated after Mr. Compson's death - but it's hard to say whether these discrepancies are deliberate or examples of Faulkner's carelessness with facts.  The ""Appendix"" is organized as a series of separate entries on individual characters, a technique that de-emphasizes the relationships <em>among</em> the family members which is a major source of the original novel's power.  Instead, the ""Appendix"" firmly locates the story of the family in the history of the nation and the region, from the Indian Removal of the 19th century to World War II - Caddy is last sighted among the Nazis in occupied France, for example, and Jason's final disposition of ""the Compson domain"" (329) occurs as part of the post-War housing boom.  The ""Appendix"" is dominated by words like ""dispossessed"" (325) and ""doomed"" (330) and ""lost"" (341) but the fate of the Compson family is not given the tragic status it has in the novel; while in that text Quentin evokes his Grandfather the General as a heroic figure from a great past, for instance, the ""Appendix"" says of him that he ""failed at Shiloh in '62 and failed again though not so badly at Resaca in '64"" (329).  It is worth noting, too, that while the Compson family tree remains all white (unlike the Sartorises and the McCaslins), the ""Appendix Compson"" includes Ikkemotubbe, and four members of the Gibson family - though these last entries appear after a kind of disclaimer: ""These others were not Compsons.  They were black"" (343).</p>
","Compsons in Appendix Compson","""Appendix Compson""","",""
"19715","<a href=""/content/compsonsinbar"">CompsonsInBAR</a>","<a href=""/content/compsonfamily"">CompsonFamily</a>","<p>""Old General Compson"" (as he is repeatedly called in this short story, 280, 284, 286, 287, etc.) appears in this hunting story as a former ""brigade commander"" (286) and an accomplished hunter and woodsman, though he remains a minor figure in the narrative.  He is associated with another former Confederate officer and Yoknapatawpha aristocrat: ""Major de Spain and old General Compson and the others"" is also a recurring phrase (280, 282).</p>
","Compsons in The Bear","""The Bear""","",""
"19716","<a href=""/content/compsonsingdm"">CompsonsInGDM</a>","<a href=""/content/compsonfamily"">CompsonFamily</a>","<p>Another old Yoknapatawpha family, the McCaslins, preoccupy Faulkner's imagination in this novel - indeed, given the way Ike McCaslin takes over the role Quentin played in ""Lion"" when that short story becomes part of ""The Bear"" in this book, we could even say that in some respects in this novel the McCaslins displace the Compsons.  But two Compsons do have a place, in the big woods.  General Compson is among the chief members of the bi-annual hunting trips to Major de Spain's camp, and he becomes a kind of <em>second</em> second father to Ike (second to Sam Fathers): he recognizes Ike's great gifts as a woodsman and hunter, stands up for him with the other adults, and (to continue the motif of replacement) gives up his place of honor on Katie, the camp's best mount on a bear hunt, to Ike during the climactic chase of Old Ben.  Quentin's father, referred to here only as ""General Compson's son,"" also makes an appearance in the woods, but only as a spectator, one among the other ""guests from Jefferson"" who visit (223).  Interestingly, just as Quentin acquires General Compson's watch in <em>The Sound and the Fury</em>, so here Ike inherits the General's hunting horn, ""covered with the unbroken skin from a buck's shank and bound in silver"" (345).  Perhaps more interestingly, Ike in turn gives this to the newest (and last) member of his own family, the mixed-race illegitimate child of  two descendants from each side of the McCaslin family, one black and one white  - just after he orders the child's 'black' mother to leave the South.</p>
","Compsons in Go Down, Moses","Go Down, Moses","",""
"19719","<a href=""/content/compsonsinid"">CompsonsInID</a>","<a href=""/content/compsonfamily"">CompsonFamily</a>","<p>General Compson makes a brief appearance here, in Chick's list of ""the hunters"" who in ""the old days"" had a wilderness ""within twelve miles of Jefferson"" in which to pursue deer and bear and wild turkey.  Major de Spain heads the list, but it spans classes, races and even species: it includes the mixed race Boon Hogganbeck and ""the Negro Sam Fathers,"" and ends with ""Major de Spain's one-eyed hunting mule Alice"" (90-91).</p>
","Compsons in Intruder in the Dust","Intruder in the Dust","",""
"19706","<a href=""/content/compsonsinj"">CompsonsInJ</a>","<a href=""/content/compsonfamily"">CompsonFamily</a>","<p>The story begins with two generations of Compson in the same carriage: Grandfather, Caddy, Jason - and the narrator who is never named but whom readers of <em>The Sound and the Fury</em> will recognize as Quentin.  Not mentioned in the story are the children's parents, which creates a contrast with the story Quentin hears when the carriage reaches the aristocratic family's county farm - about how the mixed-race Indian who lives with the farm's black tenants got the name ""Had-Two-Fathers"" (345).  The story's title resonates ironically too, for the story Sam Fathers (as he is now called) tells Quentin is about racism, slavery, miscegenation and the vexed Southern past.  ""I was just twelve then,"" Quentin says at the end, where he doesn't know how to answer when Grandfather asks him ""What were you and Sam talking about?"" (360).  It was Grandfather's father who bought Sam and his violated mother when Sam was about Quentin's age.  The story only suggests the interrelationship between its white and non-white families; even after hearing Sam's account, Quentin declares his faith in his own family and its past: ""we all believed [Grandfather] did fine things"" (360).  In some ways, however, ""A Justice"" anticipates what will happen in <em>Absalom, Absalom!</em>, when Grandfather, Quentin and the short story's missing father return compulsively to ""talk about"" that larger past and its legacy.</p>
","Compsons in A Justice","""A Justice""","",""
"19710","<a href=""/content/compsonsinlio"">CompsonsInLIO</a>","<a href=""/content/compsonfamily"">CompsonFamily</a>","<p>In this third short story narrated by Quentin Compson, he is sixteen-years-old, on one of the annual hunting trips he's been taking to Major de Spain's camp in the big woods.  Readers who know Quentin as the anguished, suiciding college student in Cambridge may wonder if this adolescent <em>is</em> Quentin, when they see how spiritually at home he is as a hunter in the wilderness.   (Faulkner will later recast this sixteen-year-old as Ike McCaslin when he rewrites ""Lion"" as part of the novel <em>Go Down, Moses</em>; Ike is another child of the plantation aristocracy, but when he enters the woods, he doesn't carry the same kind of baggage that Quentin's character brings with him from earlier fictions.)  But we know it's ""Quentin"" when another character refers to him by name (186).  The character of Quentin's father also behaves very differently in the woods: here, as opposed to <em>The Sound and the Fury</em>, what 'father says' is empowering, good to keep in mind; along with Sam Fathers, this father helps Quentin learn how to behave well in the wilderness.</p>
","Compsons in Lion","""Lion""","",""
"19723","<a href=""/content/compsonsinm"">CompsonsInM</a>","<a href=""/content/compsonfamily"">CompsonFamily</a>","<p>Near the end of this third volume in the Snopes trilogy, Faulkner's narrative bluntly recalls the fates of Quentin, Caddy and Caddy's daughter.  He also revises Benjy's story: having in the ""Appendix"" described the way Jason sent Benjy to the state's mental home after their mother's death, he here says that Mrs. Compson ""whined and wept"" so much after Jason committed Benjy that Jason agreed to bring his brother ""back home,"" where two years later Benjy set fire to their house, and perished himself in the flames (354).  He also provides a kind of coda to the Compsons' story, when the narrative describes how Flem comes to own ""what was left of the Compson place"" (354).  Jason loses what remains after the fire when he tries to outsmart Flem, and gets outsmarted by him instead.  Flem turns the property into a suburban development named ""Eula Acres.""  But ""the Compson place"" is - or rather <em>was</em> - more than a piece of land.  The narrative refers to what the family stood for when it ""had had a place in the history of Jefferson (357).  Although Jason himself survives, his effort to reverse the family history of loss, and even build a monument of sorts to the Compsons' former greatness, ends in failure.</p>
","Compsons in The Mansion","The Mansion","",""
"19717","<a href=""/content/compsonsinmgm"">CompsonsInMGM</a>","<a href=""/content/compsonfamily"">CompsonFamily</a>","<p>Faulkner wrote this additional short story about the Sartorises during the Civil War after <em>The Unvanquished</em> was published.  Here ""Mrs. Compson"" is explicitly identified as the wife of ""General Compson,"" and the lady who outsmarted the Yankees by hiding with the family silver in a place not even the Yankees would look (675).</p>
","Compsons in My Grandmother Millard","""My Grandmother Millard""","",""
"19720","<a href=""/content/compsonsinnc"">CompsonsInNC</a>","<a href=""/content/compsonfamily"">CompsonFamily</a>","<p>The ""man named Compson"" who appears in this story as the first Compson in Yoknapatawpha is never given a first name (206), and so it is difficult to know which Compson Faulkner is thinking of.  When Faulkner incorporated the story into <em>Requiem for a Nun</em>, he identified him as Jason, the father of General Compson, but elsewhere Jason is the name of the General's <em>grandfather</em>, and the first Compson in Jefferson is identified as either the General (in <em>Absalom!</em>), or (in <em>The Mansion</em>) as one of the Quentins on the family tree (the one who, according to ""Appendix Compson,"" is the son of the first Jason and the father of the General).  In any case, here the man named Compson reveals himself to be an ambitious man (he swaps a racehorse with the Chickasaw chief for a square mile of good land), and a skilled leader who knows when to be forceful and when to be sly (he stands up to the party that wants to lynch the bandits, but then keeps the peace by lacing a keg of whiskey with laudanum).</p>
","Compsons in A Name for the City","""A Name for the City""","",""
"19724","<a href=""/content/compsonsinr"">CompsonsInR</a>","<a href=""/content/compsonfamily"">CompsonFamily</a>","<p>General Compson's appearance in this novel, the thirteenth different time he has appeared, makes him the last Compson Faulkner ever describes.  In his first appearance, in <em>The Sound and the Fury</em> (1929), his grandson Quentin imagines him standing ""on a high place"" (like a monument) in his Confederate General's uniform, ""and Grandfather was always right"" (176).  In this final appearance in Faulkner's last book, he has been taken off that pedestal.  According to <em>The Reivers</em>, he had commanded troops ""not too unsuccessfully as a colonel at Shiloh, and again not too unsuccessfully as a brigadier during Johnston's retreat"" (20; note how this echoes and slightly softens the way Faulkner represents the General's Civil War record in the earlier ""Appendix Compson"").  In <em>The Sound and the Fury</em> it's Benjy who needs a guardian, but in this novel it's the General: he inevitably gets lost within ten minutes of leaving the hunting camp and he's too deaf to hear the horn the other hunters blow to call him in.  This is happening in <em>The Reivers</em> some years <em>before</em> 1910, when Quentin puts him on that metaphorical pedestal, but over three decades <em>later</em> in Faulkner's career.  While it may just be ""General Compson"" who has changed so dramatically, perhaps what has really changed is the way Faulkner sees the Southern past that the Compson family has represented.</p>
","Compsons in The Reivers","The Reivers","",""
"19708","<a href=""/content/compsonsinrai"">CompsonsInRAI</a>","<a href=""/content/compsonfamily"">CompsonFamily</a>","<p>This is the second <em>Unvanquished</em> story in which ""Mrs. Compson"" is mentioned or appears.  Again her role is minor, but again the fact that Colonel Sartoris' mother-in-law, Miss Rosa Millard, turns to her to borrow a hat, a ""parasol"" and a ""hand mirror"" (37) - essential elements in establishing or maintaining one's status as a 'lady' - makes clear the Compson's family aristocratic standing, even amid the ruins of the Civil War.  ""Mrs. Compson"" plays that role consistently throughout these stories, but it's less clear which ""Mrs. Compson"" Faulkner is thinking of in each of them.  In this tale, as in two of the three others, it's almost certain that she is the wife of the General who, like Rosa's son-in-law, is off fighting the Yankees.</p>
","Compsons in Raid","""Raid""","",""
"19707","<a href=""/content/compsonsinret"">CompsonsInRET</a>","<a href=""/content/compsonfamily"">CompsonFamily</a>","<p>""Mrs. Compson"" is mentioned or appears in four of the seven <em>Unvanquished</em> stories, starting with ""Retreat,"" the second one Faulkner wrote.   Her role is minor, but even as the plantation aristocracy is being destroyed by the Civil War, she maintains the family's class status in Faulkner's world, by virtue of the fact that it is Mrs. Compson to whom Rosa Millard, mother-in-law of Colonel Sartoris, turns for favors.  ""Mrs. Compson"" represents the caste ideal of 'lady' consistently throughout these stories, but it's less clear which ""Mrs. Compson"" Faulkner is thinking of in each of them.  In this tale, as in two of the three others, it's almost certain that she is the wife of the General who, like Rosa's son-in-law, is off fighting the Yankees.</p>
","Compsons in Retreat","""Retreat""","",""
"19721","<a href=""/content/compsonsinrq"">CompsonsInRQ</a>","<a href=""/content/compsonfamily"">CompsonFamily</a>","<p>Two of the four Jason Compsons in the fictions appear in this novel, as father and son.  The father appears in ""Act I"" without a first name, as ""a man named Compson"" who, while not among the very first white men to arrive in the settlement that becomes Jefferson, is a leader in its early history.  He acquires the large piece of property that becomes the Compson plantation from the Indians, establishing his place in Yoknapatawpha's landed gentry before the Sartorises, but interestingly in ""Act III,"" where he is referred to as Jason Compson, he also becomes a partner in the settlement's store - a more commercial source of wealth than the Compsons have been associated with in the past, until they fall on harder times in the 20th century and the last Jason winds up clerking in the hardware store in <em>The Sound and the Fury</em>.  The son served as a Confederate officer during the Civil War - and is known in the narrative only by his military title, General Compson - but in the novel's brief account of him, he is associated not with military command or the plantation aristocracy, but also with business, his short-lived investment in Sartoris' railroad.  Faulkner, that is to say, is shifting the Compson family past from a quasi-aristocratic to a capitalistic context.  (In other texts, it should be noted, the second Jason Compson is the grandson rather than the son of the first.)</p>
","Compsons in Requiem for a Nun","Requiem for a Nun","",""
"19709","<a href=""/content/compsonsinsas"">CompsonsInSAS</a>","<a href=""/content/compsonfamily"">CompsonFamily</a>","<p>Here ""Mrs. Compson"" appears with her husband.  As in the other three <em>Unvanquished</em> stories where she appears alone, here too she represents the aristocratic ideal of 'lady' even as the Old South seems to have <em>been</em> vanquished by defeat.  But if in the other stories it seems obvious that the absent ""Mr. Compson"" is the Confederate General who is Quentin's Grandfather and the mostly frequently recurring Compson in the Yoknapatawpha fictions, this story refers to her husband as having been ""locked up for crazy a long time ago"" after he began entertaining himself by shooting potatoes off the heads of enslaved children (62).  No Compson of this kind appears anywhere else in the canon, but we can speculate that the General's father, elsewhere referred to as a Governor of Mississippi, may have ended up this way.  Whoever this is, however, adding someone like this to the Compson family tree calls the greatness of the family's past into a question that wasn't even implicitly posed in its earlier representations.</p>
","Compsons in Skirmish at Sartoris","""Skirmish at Sartoris""","",""
"19704","<a href=""/content/compsonsinsf"">CompsonsInSF</a>","<a href=""/content/compsonfamily"">CompsonFamily</a>","<p>In this novel the ""past"" that Faulkner famously said is ""not dead"" is the personal, familial, Freudian past.  The stream-of-consciousness narrative technique used in the first three sections of this novel vividly dramatizes the extent to which one's earlier life is always present, consciously or unconsciously.  Throughout his section the 33-year-old Benjy Compson helplessly re-lives his childhood memories, when his beloved sister Caddy was ""here"" (3).  His brother Quentin, knowing how painful are his own recollections of Caddy, spends his last day in Massachusetts - or anywhere - trying in vain to repress the return of memories that keep carrying him back to home and family.  Their brother Jason is much less mindful of the past, seeming to live in the present, but his actions - following his niece around as twenty years earlier his mother had commissioned him to follow his sister, embezzling and locking up and constantly counting the money that is his attempt to compensate for the job in the bank that he lost twenty years ago, before he ever had it - drives home just as powerfully the way the children of Jason and Caroline Bascomb Compson are defined by what ""family"" as a destructive force did to them.  All the ""father said""s in Quentin's section reveal how his mind is inhabited by that parent, but perhaps the saddest line in his section - it is repeated twice - is Quentin's ""<em>if I'd just had a mother so I could say Mother Mother</em>"" (95, 172).  The Compson family as a whole is certainly shaped by history, by the defeat of the Confederacy and the collapse of the old Southern aristocracy, and the past that provides the context for the novel's final, Easter section is the modern idea of the death of God, where the Christian faith of the ""breddren en sistuhn"" in the black church (295) is juxtaposed with the nihilistic darkness in which the Compson children find themselves.  But although Faulkner said he never read Freud, the novel is one of literature's greatest representations of what Freud called, not without irony of his own, the family romance.<br />
Our tree does not try to identify the father of Caddy's daughter Quentin, who represents the last of the Compsons.  Some commentators assume it is Dalton Ames, the man to whom Caddy loses her virginity, but when the pregnant Caddy replies to her brother Quentin's question about her sexual history - ""Have there been very many Caddy"" - she says ""I dont know too many"" (115).</p>
","Compsons in The Sound and the Fury","The Sound and the Fury","",""
"19722","<a href=""/content/compsonsint"">CompsonsInT</a>","<a href=""/content/compsonfamily"">CompsonFamily</a>","<p>The Compsons remain basically offstage in this novel, mentioned but not seen.  The General's name comes up in connection with the hunting camp in the big woods, and his wife, Mrs. Compson, is identified as the person who gave Old Het the hat she has worn for fifty years.  More intriguingly, it is the next Mrs. Compson, the widow of the General's son, who owns the building in which Montgomery Ward Snopes sells pornography.  The only member of the next generation mentioned is her son Jason, who collects the rent from him ""prompt on time"" every month (159).   Jason is the only member of the Compson family who ever appears in an event together with a Snopes.</p>
","Compsons in The Town","The Town","",""
"19705","<a href=""/content/compsonsintes"">CompsonsInTES</a>","<a href=""/content/compsonfamily"">CompsonFamily</a>","<p>This powerful story juxtaposes the Compsons' privileged world with the vulnerabilities of Nancy's life as a black woman.  The family name never appears, but readers of <em>The Sound and the Fury</em> will recognize the Compsons, all of whom - parents and three children - reappear except Benjy, and who display the same personal characteristics and interpersonal dynamics, though now as seen through the eyes of nine-year-old Quentin, who narrates Nancy's story from fifteen years later but still as it happened to him as a child.  (This distance creates a problem that cannot be resolved, because according to the novel Quentin dies before turning twenty.)</p>
","Compsons in That Evening Sun","""That Evening Sun""","",""
"19712","<a href=""/content/compsonsinunv"">CompsonsInUNV</a>","<a href=""/content/compsonfamily"">CompsonFamily</a>","<p>This final mention of Mrs. Compson in an <em>Unvanquished</em> story simply refers again to the accessories she loaned Rosa Millard in ""Raid,"" though instead of a hand mirror, the hat and parasol are now accompanied by a ""shawl"" 84).</p>
","Compsons in The Unvanquished (story)","""The Unvanquished""","",""
"19714","<a href=""/content/compsonsinuv"">CompsonsInUV</a>","<a href=""/content/compsonfamily"">CompsonFamily</a>","<p>When Faulkner revised the stories Bayard narrates into the novel <em>The Unvanquished</em>, the passages depicting or referring to the Compsons remain almost entirely unchanged.  General Compson makes a brief appearance in the final story, ""An Odor of Verbena,"" the one story that had not been previously published.  His appearance there makes it even more likely that in all but one of the stories, the ""Mrs. Compson"" to whom Rosa Millard turns for various kinds of help, and who offers to take Bayard and Ringo in after Rosa's death, is the General's wife.  But it also leaves unexplained the way the ""Mrs. Compson"" who appears in ""Skirmish at Sartoris"" has an ""only husband"" who ""had been locked up for crazy a long time ago"" (193).  Our chart reflects this inconsistency by including two ""Mrs. Compson""s, with two different husbands - but this doesn't resolve the problem, because except for her husband, the ""Mrs. Compson"" in ""Skirmish"" seems identical to the ""Mrs Compson"" in every other story.  This is one of those Faulknerian cases where it seems impossible to create a definitive genealogy.</p>
","Compsons in The Unvanquished (novel)","The Unvanquished","",""
"19713","<a href=""/content/compsonsinven"">CompsonsInVEN</a>","<a href=""/content/compsonfamily"">CompsonFamily</a>","<p>Mrs. Compson's class status is displayed here when Bayard writes that she ""and some of them"" tried to have Rosa Millard's funeral presided over by ""a big preacher from Memphis or somewhere"" - ""them"" referring to the ""Jefferson people"" with social standing and ""big"" connections (156).  But her compassionate side is displayed after the funeral, when she asks both Bayard and Ringo ""to come home and live with her until Father came back"" (158).  The boys choose instead to seek vengeance for Rosa, so readers will never know <em>how</em> the enslaved Ringo would have lived at the Compson house.</p>
","Compsons in Vendee","""Vendee""","",""
"19629","<a href=""/content/gibsonsinaa"">GibsonsInAA</a>","<a href=""/content/gibsonfamily"">GibsonFamily</a>","<p>The ""Luster"" who accompanies Quentin and his father as a groom on the hunting expedition that takes them to the Sutpen family graveyard has to be a member of the Gibson family.  His character resembles the ""Luster"" whom Faulkner created earlier in <em>The Sound and the Fury</em> (1929).  But <em>that</em> ""Luster"" wasn't born until a few years after Quentin dies, a detail that Faulkner seems to have forgotten.  There would have been no inconsistency if one of Luster's uncles - Versh or T.P. - appeared in <em>Absalom!</em>, but as it is this is another instance of Faulkner's inconsistency with even some of the recurring characters in his Yoknapatawpha saga.  No other Gibson or Compson servant appears in this novel.</p>
","Gibsons in Absalom, Absalom!","Absalom, Absalom!","",""
